Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Memphis,UConn,0,0,0,0,0,Jump Ball won by Connecticut
Memphis,UConn,0,2,0,26,1,Amida Brimah made Dunk. Assisted by Rodney Purvis.
Memphis,UConn,0,2,0,57,0,Dedric Lawson missed Jumper.
Memphis,UConn,0,2,0,57,0,Connecticut Defensive Rebound.
Memphis,UConn,0,2,0,57,0,Memphis  Turnover.
Memphis,UConn,0,4,1,14,1,Amida Brimah made Dunk. Assisted by Jalen Adams.
Memphis,UConn,0,4,1,21,0,K.J. Lawson missed Layup.
Memphis,UConn,0,4,1,21,0,Vance Jackson Defensive Rebound.
Memphis,UConn,0,4,1,34,0,Rodney Purvis missed Three Point Jumper.
Memphis,UConn,0,4,1,34,0,Jeremiah Martin Defensive Rebound.
Memphis,UConn,3,4,1,43,1,Markel Crawford made Three Point Jumper. Assisted by Jeremiah Martin.
Memphis,UConn,3,4,2,2,0,Vance Jackson missed Three Point Jumper.
Memphis,UConn,3,4,2,2,0,K.J. Lawson Defensive Rebound.
Memphis,UConn,3,4,2,11,0,Markel Crawford missed Three Point Jumper.
Memphis,UConn,3,4,2,11,0,Kentan Facey Defensive Rebound.
Memphis,UConn,3,6,2,23,1,Kentan Facey made Layup. Assisted by Jalen Adams.
Memphis,UConn,3,6,2,51,0,Jeremiah Martin missed Jumper.
Memphis,UConn,3,6,2,51,0,K.J. Lawson Offensive Rebound.
Memphis,UConn,3,6,2,59,0,K.J. Lawson Turnover.
Memphis,UConn,3,6,2,59,0,Amida Brimah Steal.
Memphis,UConn,3,8,3,3,1,Jalen Adams made Jumper.
Memphis,UConn,3,8,3,13,0,Jimario Rivers missed Layup.
Memphis,UConn,3,8,3,13,0,Kentan Facey Defensive Rebound.
Memphis,UConn,3,8,3,21,0,Rodney Purvis missed Three Point Jumper.
Memphis,UConn,3,8,3,21,0,K.J. Lawson Defensive Rebound.
Memphis,UConn,5,8,3,34,1,Jeremiah Martin made Layup. Assisted by Markel Crawford.
Memphis,UConn,5,8,3,34,0,Foul on Vance Jackson.
Memphis,UConn,6,8,3,34,1,Jeremiah Martin made Free Throw.
Memphis,UConn,6,8,3,56,0,Rodney Purvis missed Jumper.
Memphis,UConn,6,8,3,56,0,Dedric Lawson Defensive Rebound.
Memphis,UConn,9,8,4,4,1,Craig Randall II made Three Point Jumper. Assisted by Dedric Lawson.
Memphis,UConn,9,8,4,9,0,Connecticut  Timeout
Memphis,UConn,9,8,4,28,0,Christian Vital Turnover.
Memphis,UConn,9,8,4,28,0,Jeremiah Martin Steal.
Memphis,UConn,11,8,4,33,1,Dedric Lawson made Layup. Assisted by Jeremiah Martin.
Memphis,UConn,11,8,4,46,0,Vance Jackson missed Jumper.
Memphis,UConn,11,8,4,46,0,Connecticut Offensive Rebound.
Memphis,UConn,11,11,5,11,1,Christian Vital made Three Point Jumper. Assisted by Vance Jackson.
