Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Georgia Tech,Miami,0,0,0,21,0,Ebuka Izundu missed Jumper.
Georgia Tech,Miami,0,0,0,21,0,Josh Heath Defensive Rebound.
Georgia Tech,Miami,0,0,0,38,0,Quinton Stephens missed Three Point Jumper.
Georgia Tech,Miami,0,0,0,38,0,Ebuka Izundu Defensive Rebound.
Georgia Tech,Miami,0,0,1,6,0,Bruce Brown Turnover.
Georgia Tech,Miami,3,0,1,31,1,Josh Okogie made Three Point Jumper. Assisted by Josh Heath.
Georgia Tech,Miami,3,0,2,2,0,Bruce Brown missed Three Point Jumper.
Georgia Tech,Miami,3,0,2,2,0,Kamari Murphy Offensive Rebound.
Georgia Tech,Miami,3,0,2,9,0,Kamari Murphy Turnover.
Georgia Tech,Miami,3,0,2,13,0,Josh Heath Steal.
Georgia Tech,Miami,5,0,2,14,1,Josh Heath made Layup. Assisted by Quinton Stephens.
Georgia Tech,Miami,5,3,2,42,1,Davon Reed made Three Point Jumper. Assisted by Bruce Brown.
Georgia Tech,Miami,5,3,2,51,0,Quinton Stephens missed Three Point Jumper.
Georgia Tech,Miami,5,3,2,51,0,Kamari Murphy Defensive Rebound.
Georgia Tech,Miami,5,3,3,3,0,Davon Reed missed Jumper.
Georgia Tech,Miami,5,3,3,3,0,Kamari Murphy Offensive Rebound.
Georgia Tech,Miami,5,5,3,5,1,Kamari Murphy made Dunk.
Georgia Tech,Miami,8,5,3,24,1,Quinton Stephens made Three Point Jumper. Assisted by Ben Lammers.
Georgia Tech,Miami,8,5,3,49,0,Bruce Brown missed Three Point Jumper.
Georgia Tech,Miami,8,5,3,49,0,Quinton Stephens Defensive Rebound.
Georgia Tech,Miami,8,5,4,4,0,Josh Heath missed Three Point Jumper.
Georgia Tech,Miami,8,5,4,4,0,Corey Heyward Offensive Rebound.
Georgia Tech,Miami,8,5,4,19,0,Ben Lammers missed Layup.
Georgia Tech,Miami,8,5,4,19,0,Davon Reed Defensive Rebound.
Georgia Tech,Miami,8,7,4,40,1,Davon Reed made Jumper.
Georgia Tech,Miami,8,7,4,58,0,Quinton Stephens missed Three Point Jumper.
Georgia Tech,Miami,8,7,4,58,0,Ebuka Izundu Defensive Rebound.
Georgia Tech,Miami,8,9,5,11,1,Ebuka Izundu made Jumper.
Georgia Tech,Miami,8,9,5,26,0,Quinton Stephens missed Layup.
Georgia Tech,Miami,8,9,5,26,0,Davon Reed Defensive Rebound.
Georgia Tech,Miami,8,11,5,33,1,Kamari Murphy made Jumper. Assisted by Davon Reed.
Georgia Tech,Miami,10,11,5,49,1,Josh Okogie made Jumper.
Georgia Tech,Miami,10,11,6,27,0,Miami  Turnover.
Georgia Tech,Miami,10,11,6,27,0,Official TV Timeout
Georgia Tech,Miami,13,11,6,49,1,Josh Okogie made Three Point Jumper. Assisted by Tadric Jackson.
Georgia Tech,Miami,13,14,7,13,1,Dejan Vasiljevic made Three Point Jumper. Assisted by Anthony Lawrence Jr..
Georgia Tech,Miami,15,14,7,39,1,Ben Lammers made Layup. Assisted by Josh Heath.
Georgia Tech,Miami,15,14,8,5,0,Dewan Huell missed Layup.
Georgia Tech,Miami,15,14,8,5,0,Ben Lammers Block.
Georgia Tech,Miami,15,14,8,8,0,Quinton Stephens Defensive Rebound.
Georgia Tech,Miami,17,14,8,11,1,Josh Okogie made Layup.
Georgia Tech,Miami,17,14,8,11,0,Foul on Davon Reed.
Georgia Tech,Miami,17,14,8,11,0,Official TV Timeout
Georgia Tech,Miami,17,14,8,11,0,Josh Okogie missed Free Throw.
Georgia Tech,Miami,17,14,8,11,0,Anthony Lawrence Jr. Defensive Rebound.
Georgia Tech,Miami,17,14,8,39,0,Davon Reed missed Jumper.
Georgia Tech,Miami,17,14,8,39,0,Quinton Stephens Defensive Rebound.
Georgia Tech,Miami,17,14,9,3,0,Tadric Jackson missed Three Point Jumper.
Georgia Tech,Miami,17,14,9,3,0,Miami Defensive Rebound.
Georgia Tech,Miami,17,14,9,8,0,Foul on Tadric Jackson.
Georgia Tech,Miami,17,16,9,29,1,Bruce Brown made Layup.
Georgia Tech,Miami,19,16,9,55,1,Justin Moore made Layup. Assisted by Tadric Jackson.
Georgia Tech,Miami,19,16,10,18,0,Dejan Vasiljevic missed Three Point Jumper.
Georgia Tech,Miami,19,16,10,18,0,Ben Lammers Defensive Rebound.
Georgia Tech,Miami,19,16,10,37,0,Justin Moore Turnover.
Georgia Tech,Miami,19,18,10,57,1,Davon Reed made Jumper.
Georgia Tech,Miami,19,18,11,14,0,Josh Heath missed Jumper.
Georgia Tech,Miami,19,18,11,14,0,Ebuka Izundu Defensive Rebound.
Georgia Tech,Miami,19,21,11,26,1,Dejan Vasiljevic made Three Point Jumper.
Georgia Tech,Miami,19,21,11,50,0,Tadric Jackson Turnover.
Georgia Tech,Miami,19,21,11,52,0,Kamari Murphy Steal.
Georgia Tech,Miami,19,23,11,55,1,Davon Reed made Layup. Assisted by Bruce Brown.
Georgia Tech,Miami,19,23,11,55,0,Foul on Justin Moore.
Georgia Tech,Miami,19,24,11,55,1,Davon Reed made Free Throw.
Georgia Tech,Miami,21,24,12,17,1,Ben Lammers made Jumper.
Georgia Tech,Miami,21,24,12,31,0,Anthony Lawrence Jr. missed Layup.
Georgia Tech,Miami,21,24,12,31,0,Ben Lammers Block.
Georgia Tech,Miami,21,24,12,33,0,Bruce Brown Offensive Rebound.
Georgia Tech,Miami,21,24,12,33,0,Foul on Quinton Stephens.
Georgia Tech,Miami,21,24,12,33,0,Official TV Timeout
Georgia Tech,Miami,21,25,12,33,1,Bruce Brown made Free Throw.
Georgia Tech,Miami,21,26,12,33,1,Bruce Brown made Free Throw.
Georgia Tech,Miami,24,26,13,5,1,Ben Lammers made Three Point Jumper. Assisted by Josh Heath.
Georgia Tech,Miami,24,28,13,27,1,Kamari Murphy made Dunk. Assisted by Bruce Brown.
Georgia Tech,Miami,24,28,13,53,0,Josh Heath missed Three Point Jumper.
Georgia Tech,Miami,24,28,13,53,0,Kamari Murphy Defensive Rebound.
Georgia Tech,Miami,24,28,14,4,0,Bruce Brown missed Layup.
Georgia Tech,Miami,24,28,14,4,0,Ben Lammers Block.
Georgia Tech,Miami,24,28,14,5,0,Miami Offensive Rebound.
Georgia Tech,Miami,24,28,14,9,0,Foul on Quinton Stephens.
Georgia Tech,Miami,24,29,14,9,1,Kamari Murphy made Free Throw.
Georgia Tech,Miami,24,30,14,9,1,Kamari Murphy made Free Throw.
Georgia Tech,Miami,24,30,14,29,0,Quinton Stephens missed Three Point Jumper.
Georgia Tech,Miami,24,30,14,29,0,Bruce Brown Defensive Rebound.
Georgia Tech,Miami,24,30,14,57,0,Kamari Murphy missed Jumper.
Georgia Tech,Miami,24,30,14,57,0,Justin Moore Defensive Rebound.
Georgia Tech,Miami,26,30,15,13,1,Ben Lammers made Dunk. Assisted by Justin Moore.
Georgia Tech,Miami,26,30,15,43,0,Foul on Tadric Jackson.
Georgia Tech,Miami,26,31,15,43,1,Anthony Lawrence Jr. made Free Throw.
Georgia Tech,Miami,26,32,15,43,1,Anthony Lawrence Jr. made Free Throw.
Georgia Tech,Miami,26,33,15,43,1,Anthony Lawrence Jr. made Free Throw.
Georgia Tech,Miami,26,33,16,1,0,Ben Lammers missed Jumper.
Georgia Tech,Miami,26,33,16,1,0,Anthony Lawrence Jr. Defensive Rebound.
Georgia Tech,Miami,26,33,16,21,0,Davon Reed missed Three Point Jumper.
Georgia Tech,Miami,26,33,16,21,0,Justin Moore Defensive Rebound.
Georgia Tech,Miami,26,33,16,40,0,Ben Lammers missed Jumper.
Georgia Tech,Miami,26,33,16,40,0,Dejan Vasiljevic Defensive Rebound.
Georgia Tech,Miami,26,33,16,48,0,Foul on Justin Moore.
Georgia Tech,Miami,26,33,16,48,0,Official TV Timeout
Georgia Tech,Miami,26,33,16,48,0,Davon Reed Turnover.
Georgia Tech,Miami,26,33,16,48,0,Foul on Davon Reed.
Georgia Tech,Miami,26,33,17,2,0,Ben Lammers missed Layup.
