Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Notre Dame,Miami,0,0,0,0,0,Jump Ball won by Miami
Notre Dame,Miami,0,2,0,13,1,Davon Reed made Layup.
Notre Dame,Miami,0,2,0,39,0,Martinas Geben Turnover.
Notre Dame,Miami,0,2,0,39,0,Bruce Brown Steal.
Notre Dame,Miami,0,2,0,44,0,Foul on V.J. Beachem.
Notre Dame,Miami,0,2,0,44,0,Bruce Brown missed Free Throw.
Notre Dame,Miami,0,2,0,44,0,Miami Deadball Team Rebound.
Notre Dame,Miami,0,3,0,44,1,Bruce Brown made Free Throw.
Notre Dame,Miami,2,3,1,10,1,Martinas Geben made Layup. Assisted by Matt Farrell.
Notre Dame,Miami,2,5,1,28,1,Davon Reed made Jumper.
Notre Dame,Miami,2,5,1,51,0,V.J. Beachem missed Three Point Jumper.
Notre Dame,Miami,2,5,1,51,0,Kamari Murphy Defensive Rebound.
Notre Dame,Miami,2,5,2,1,0,Ja'Quan Newton missed Layup.
Notre Dame,Miami,2,5,2,1,0,Martinas Geben Defensive Rebound.
Notre Dame,Miami,2,5,2,11,0,Matt Farrell missed Layup.
Notre Dame,Miami,2,5,2,11,0,Martinas Geben Offensive Rebound.
Notre Dame,Miami,2,5,2,23,0,Martinas Geben missed Dunk.
Notre Dame,Miami,2,5,2,23,0,Davon Reed Block.
Notre Dame,Miami,2,5,2,23,0,Davon Reed Defensive Rebound.
Notre Dame,Miami,2,5,2,29,0,Davon Reed missed Jumper.
Notre Dame,Miami,2,5,2,29,0,Miami Offensive Rebound.
Notre Dame,Miami,2,5,2,40,0,Ja'Quan Newton missed Jumper.
Notre Dame,Miami,2,5,2,40,0,Ja'Quan Newton Offensive Rebound.
Notre Dame,Miami,2,7,2,57,1,Dewan Huell made Jumper.
Notre Dame,Miami,2,7,3,19,0,Steve Vasturia missed Layup.
Notre Dame,Miami,2,7,3,19,0,Bruce Brown Defensive Rebound.
Notre Dame,Miami,2,7,3,27,0,Bruce Brown missed Three Point Jumper.
Notre Dame,Miami,2,7,3,27,0,Steve Vasturia Defensive Rebound.
Notre Dame,Miami,4,7,3,32,1,V.J. Beachem made Dunk. Assisted by Steve Vasturia.
Notre Dame,Miami,4,7,3,56,0,Davon Reed missed Jumper.
Notre Dame,Miami,4,7,3,56,0,Notre Dame Defensive Rebound.
Notre Dame,Miami,4,7,4,1,0,Official TV Timeout
Notre Dame,Miami,6,7,4,9,1,Matt Farrell made Layup. Assisted by Steve Vasturia.
Notre Dame,Miami,6,7,4,30,0,Ja'Quan Newton missed Jumper.
Notre Dame,Miami,6,7,4,30,0,Steve Vasturia Defensive Rebound.
Notre Dame,Miami,6,7,4,43,0,Jump Ball won by Notre Dame
Notre Dame,Miami,6,7,4,54,0,Matt Farrell missed Jumper.
