Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Mississippi State,Alabama,0,0,0,0,0,Jump Ball won by Alabama
Mississippi State,Alabama,0,0,0,21,0,Foul on Schnider Herard.
Mississippi State,Alabama,0,1,0,21,1,Jimmie Taylor made Free Throw.
Mississippi State,Alabama,0,2,0,21,1,Jimmie Taylor made Free Throw.
Mississippi State,Alabama,0,2,0,30,0,Aric Holman missed Three Point Jumper.
Mississippi State,Alabama,0,2,0,30,0,Braxton Key Defensive Rebound.
Mississippi State,Alabama,0,2,0,52,0,Riley Norris missed Three Point Jumper.
Mississippi State,Alabama,0,2,0,52,0,Aric Holman Defensive Rebound.
Mississippi State,Alabama,0,2,0,56,0,Foul on Bola Olaniyan.
Mississippi State,Alabama,2,2,1,8,1,I.J. Ready made Jumper.
Mississippi State,Alabama,2,4,1,35,1,Braxton Key made Layup. Assisted by Riley Norris.
Mississippi State,Alabama,2,4,1,56,0,Schnider Herard missed Layup.
Mississippi State,Alabama,2,4,1,56,0,Dazon Ingram Defensive Rebound.
Mississippi State,Alabama,2,6,2,4,1,Dazon Ingram made Jumper.
Mississippi State,Alabama,2,6,2,22,0,Quinndary Weatherspoon missed Jumper.
Mississippi State,Alabama,2,6,2,22,0,Quinndary Weatherspoon Offensive Rebound.
Mississippi State,Alabama,4,6,2,29,1,Quinndary Weatherspoon made Layup.
Mississippi State,Alabama,4,6,2,42,0,Foul on Schnider Herard.
Mississippi State,Alabama,4,6,2,42,0,Jimmie Taylor missed Free Throw.
Mississippi State,Alabama,4,6,2,42,0,Alabama Deadball Team Rebound.
Mississippi State,Alabama,4,7,2,42,1,Jimmie Taylor made Free Throw.
Mississippi State,Alabama,6,7,2,55,1,E.J. Datcher made Dunk. Assisted by I.J. Ready.
Mississippi State,Alabama,6,7,3,27,0,Braxton Key missed Three Point Jumper.
Mississippi State,Alabama,6,7,3,27,0,Quinndary Weatherspoon Defensive Rebound.
Mississippi State,Alabama,6,7,3,35,0,Xavian Stapleton Turnover.
Mississippi State,Alabama,6,7,3,59,0,Foul on Mario Kegler.
Mississippi State,Alabama,6,8,3,59,1,Dazon Ingram made Free Throw.
Mississippi State,Alabama,6,9,3,59,1,Dazon Ingram made Free Throw.
Mississippi State,Alabama,6,9,4,15,0,Quinndary Weatherspoon Turnover.
Mississippi State,Alabama,6,12,4,43,1,Corban Collins made Three Point Jumper. Assisted by Braxton Key.
Mississippi State,Alabama,6,12,5,2,0,Foul on E.J. Datcher.
Mississippi State,Alabama,6,12,5,2,0,E.J. Datcher Turnover.
Mississippi State,Alabama,6,12,5,2,0,Official TV Timeout
Mississippi State,Alabama,6,12,5,19,0,Braxton Key Turnover.
Mississippi State,Alabama,6,12,5,38,0,Quinndary Weatherspoon missed Three Point Jumper.
Mississippi State,Alabama,6,12,5,38,0,Xavian Stapleton Offensive Rebound.
Mississippi State,Alabama,8,12,5,38,1,Xavian Stapleton made Two Point Tip Shot.
Mississippi State,Alabama,8,14,6,6,1,Donta Hall made Layup. Assisted by Avery Johnson Jr..
Mississippi State,Alabama,8,14,6,15,0,Lamar Peters Turnover.
Mississippi State,Alabama,8,14,6,15,0,Avery Johnson Jr. Steal.
Mississippi State,Alabama,8,16,6,24,1,Dazon Ingram made Layup. Assisted by Avery Johnson Jr..
Mississippi State,Alabama,8,16,6,52,0,Foul on Donta Hall.
Mississippi State,Alabama,9,16,6,52,1,Aric Holman made Free Throw.
Mississippi State,Alabama,9,16,6,52,0,Aric Holman missed Free Throw.
Mississippi State,Alabama,9,16,6,52,0,Ar'Mond Davis Defensive Rebound.
Mississippi State,Alabama,9,16,7,6,0,Avery Johnson Jr. missed Three Point Jumper.
Mississippi State,Alabama,9,16,7,6,0,Braxton Key Offensive Rebound.
Mississippi State,Alabama,9,16,7,20,0,Foul on Tyson Carter.
Mississippi State,Alabama,9,16,7,32,0,Ar'Mond Davis missed Three Point Jumper.
Mississippi State,Alabama,9,16,7,32,0,Schnider Herard Defensive Rebound.
Mississippi State,Alabama,11,16,7,45,1,Tyson Carter made Jumper.
Mississippi State,Alabama,11,16,7,55,0,Avery Johnson Jr. missed Jumper.
Mississippi State,Alabama,11,16,7,55,0,Riley Norris Offensive Rebound.
Mississippi State,Alabama,11,16,8,17,0,Foul on Xavian Stapleton.
Mississippi State,Alabama,11,16,8,17,0,Official TV Timeout
Mississippi State,Alabama,11,17,8,17,1,Corban Collins made Free Throw.
Mississippi State,Alabama,11,17,8,17,0,Corban Collins missed Free Throw.
Mississippi State,Alabama,11,17,8,17,0,Schnider Herard Defensive Rebound.
Mississippi State,Alabama,11,17,8,25,0,Lamar Peters missed Jumper.
Mississippi State,Alabama,11,17,8,25,0,Schnider Herard Offensive Rebound.
Mississippi State,Alabama,11,17,8,31,0,Schnider Herard missed Layup.
Mississippi State,Alabama,11,17,8,31,0,Riley Norris Block.
Mississippi State,Alabama,11,17,8,31,0,Avery Johnson Jr. Defensive Rebound.
Mississippi State,Alabama,11,19,8,42,1,Donta Hall made Jumper.
Mississippi State,Alabama,11,19,9,12,0,Foul on Avery Johnson Jr..
Mississippi State,Alabama,11,19,9,26,0,Lamar Peters missed Layup.
Mississippi State,Alabama,11,19,9,26,0,Donta Hall Block.
Mississippi State,Alabama,11,19,9,26,0,Avery Johnson Jr. Defensive Rebound.
Mississippi State,Alabama,11,19,9,39,0,Bola Olaniyan missed Jumper.
Mississippi State,Alabama,11,19,9,39,0,Aric Holman Defensive Rebound.
Mississippi State,Alabama,11,19,9,59,0,Aric Holman missed Layup.
Mississippi State,Alabama,11,19,9,59,0,Bola Olaniyan Defensive Rebound.
Mississippi State,Alabama,11,19,10,6,0,Riley Norris missed Layup.
Mississippi State,Alabama,11,19,10,6,0,Aric Holman Defensive Rebound.
Mississippi State,Alabama,11,19,10,20,0,Lamar Peters Turnover.
Mississippi State,Alabama,11,19,10,20,0,Mississippi St  Timeout
Mississippi State,Alabama,11,19,10,42,0,Riley Norris missed Three Point Jumper.
Mississippi State,Alabama,11,19,10,42,0,Jimmie Taylor Offensive Rebound.
Mississippi State,Alabama,11,21,11,10,1,Jimmie Taylor made Jumper. Assisted by Riley Norris.
Mississippi State,Alabama,11,21,11,25,0,E.J. Datcher missed Jumper.
Mississippi State,Alabama,11,21,11,25,0,Bola Olaniyan Defensive Rebound.
Mississippi State,Alabama,11,21,11,45,0,Braxton Key Turnover.
