Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Missouri State,DePaul,0,0,0,20,0,Brandon Cyrus missed Layup.
Missouri State,DePaul,0,0,0,20,0,Joe Hanel Offensive Rebound.
Missouri State,DePaul,0,0,0,31,0,Brandon Cyrus Turnover.
Missouri State,DePaul,0,0,0,32,0,Ronnie Rousseau III Steal.
Missouri State,DePaul,1,0,0,35,1,Ronnie Rousseau III made Free Throw.
Missouri State,DePaul,2,0,0,35,1,Ronnie Rousseau III made Free Throw.
Missouri State,DePaul,2,0,0,35,0,Foul on Tre'Darius McCallum.
Missouri State,DePaul,2,0,0,50,0,Brandon Cyrus Turnover.
Missouri State,DePaul,2,0,0,52,0,Jarrid Rhodes Steal.
Missouri State,DePaul,4,0,0,55,1,Ronnie Rousseau III made Layup. Assisted by Jarrid Rhodes.
Missouri State,DePaul,4,0,1,12,0,Dequon Miller Defensive Rebound.
Missouri State,DePaul,4,0,1,12,0,Tre'Darius McCallum missed Jumper.
Missouri State,DePaul,4,0,1,45,0,Alize Johnson missed Three Point Jumper.
Missouri State,DePaul,4,0,1,45,0,Eli Cain Defensive Rebound.
Missouri State,DePaul,4,2,1,52,1,Tre'Darius McCallum made Layup.
Missouri State,DePaul,4,2,2,17,0,Jarrid Rhodes missed Jumper.
Missouri State,DePaul,4,2,2,17,0,Billy Garrett Jr. Defensive Rebound.
Missouri State,DePaul,4,2,2,31,0,Dequon Miller Defensive Rebound.
Missouri State,DePaul,4,2,2,31,0,Brandon Cyrus missed Layup.
Missouri State,DePaul,6,2,2,41,1,Alize Johnson made Layup. Assisted by Dequon Miller.
Missouri State,DePaul,6,2,3,3,0,Billy Garrett Jr. missed Three Point Jumper.
Missouri State,DePaul,6,2,3,9,0,Joe Hanel Offensive Rebound.
Missouri State,DePaul,6,2,3,15,0,Dequon Miller Defensive Rebound.
Missouri State,DePaul,6,2,3,15,0,Eli Cain missed Layup.
Missouri State,DePaul,6,2,3,27,0,Foul on Brandon Cyrus.
Missouri State,DePaul,7,2,3,40,1,Ronnie Rousseau III made Free Throw.
Missouri State,DePaul,7,2,3,40,0,Ronnie Rousseau III missed Free Throw.
Missouri State,DePaul,7,2,3,40,0,Jordan Martin Offensive Rebound.
Missouri State,DePaul,6,2,3,40,0,Foul on Brandon Cyrus.
Missouri State,DePaul,9,2,3,42,1,Jordan Martin made Layup.
Missouri State,DePaul,9,5,3,57,1,Tre'Darius McCallum made Three Point Jumper. Assisted by Devin Gage.
Missouri State,DePaul,9,5,4,7,0,Ronnie Rousseau III Turnover.
Missouri State,DePaul,9,5,4,7,0,Official TV Timeout
Missouri State,DePaul,9,5,4,23,0,Alize Johnson Defensive Rebound.
Missouri State,DePaul,9,5,4,23,0,Devin Gage missed Layup.
Missouri State,DePaul,9,5,4,40,0,Ronnie Rousseau III missed Jumper.
Missouri State,DePaul,9,5,4,40,0,Tre'Darius McCallum Defensive Rebound.
Missouri State,DePaul,9,5,4,53,0,Joe Hanel missed Jumper.
Missouri State,DePaul,9,5,4,53,0,R.J. Curington Offensive Rebound.
Missouri State,DePaul,9,5,4,55,0,Foul on Jordan Martin.
Missouri State,DePaul,9,6,4,55,1,R.J. Curington made Free Throw.
Missouri State,DePaul,9,7,4,55,1,R.J. Curington made Free Throw.
Missouri State,DePaul,9,7,5,18,0,Dequon Miller missed Jumper.
Missouri State,DePaul,9,7,5,18,0,Tre'Darius McCallum Defensive Rebound.
Missouri State,DePaul,9,7,5,29,0,Missouri St Defensive Rebound.
Missouri State,DePaul,9,7,5,29,0,R.J. Curington missed Three Point Jumper.
Missouri State,DePaul,9,7,5,49,0,Alize Johnson missed Layup.
Missouri State,DePaul,9,7,5,49,0,Levi Cook Block.
Missouri State,DePaul,9,7,5,51,0,Obediah Church Offensive Rebound.
