Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
NJIT,Georgia State,0,0,0,19,0,Willie Clayton Turnover.
NJIT,Georgia State,0,0,0,42,0,Tim Coleman missed Three Point Jumper.
NJIT,Georgia State,0,0,0,42,0,Jeff Thomas Defensive Rebound.
NJIT,Georgia State,0,0,0,58,0,Foul on Osa Izevbuwa.
NJIT,Georgia State,0,0,1,3,0,Justin Seymour missed Three Point Jumper.
NJIT,Georgia State,0,0,1,3,0,Rob Ukawuba Defensive Rebound.
NJIT,Georgia State,3,0,1,23,1,Osa Izevbuwa made Three Point Jumper. Assisted by Damon Lynn.
NJIT,Georgia State,3,0,1,43,0,Jeremy Hollowell Turnover.
NJIT,Georgia State,3,0,1,43,0,Foul on Jeremy Hollowell.
NJIT,Georgia State,3,0,2,13,0,Damon Lynn missed Three Point Jumper.
NJIT,Georgia State,3,0,2,13,0,Abdul Lewis Offensive Rebound.
NJIT,Georgia State,5,0,2,16,1,Abdul Lewis made Layup.
NJIT,Georgia State,5,2,2,33,1,Justin Seymour made Layup.
NJIT,Georgia State,5,2,2,33,0,Foul on Tim Coleman.
NJIT,Georgia State,5,2,2,33,0,Justin Seymour missed Free Throw.
NJIT,Georgia State,5,2,2,33,0,Abdul Lewis Defensive Rebound.
NJIT,Georgia State,5,2,2,39,0,Damon Lynn Turnover.
NJIT,Georgia State,5,4,2,57,1,Isaiah Dennis made Layup.
NJIT,Georgia State,5,4,3,18,0,Rob Ukawuba Turnover.
NJIT,Georgia State,5,4,3,19,0,Jeremy Hollowell Steal.
NJIT,Georgia State,5,4,3,24,0,Willie Clayton Turnover.
NJIT,Georgia State,5,4,3,24,0,Foul on Willie Clayton.
NJIT,Georgia State,7,4,3,52,1,Damon Lynn made Layup.
NJIT,Georgia State,7,4,4,6,0,Isaiah Dennis missed Layup.
NJIT,Georgia State,7,4,4,6,0,Anthony Tarke Defensive Rebound.
NJIT,Georgia State,10,4,4,33,1,Damon Lynn made Three Point Jumper.
NJIT,Georgia State,10,4,4,53,0,Official TV Timeout
NJIT,Georgia State,10,4,4,54,0,Jeff Thomas missed Three Point Jumper.
NJIT,Georgia State,10,4,4,54,0,Anthony Tarke Defensive Rebound.
NJIT,Georgia State,10,4,5,8,0,Rob Ukawuba Turnover.
NJIT,Georgia State,10,6,5,24,1,Isaiah Williams made Layup.
NJIT,Georgia State,10,6,5,36,0,Foul on Isaiah Williams.
NJIT,Georgia State,10,6,5,47,0,Tim Coleman missed Three Point Jumper.
NJIT,Georgia State,10,6,5,47,0,Malik Benlevi Defensive Rebound.
NJIT,Georgia State,10,6,5,58,0,Jeremy Hollowell missed Three Point Jumper.
NJIT,Georgia State,10,6,5,58,0,Chris Jenkins Defensive Rebound.
NJIT,Georgia State,13,6,6,26,1,Chris Jenkins made Three Point Jumper. Assisted by Tim Coleman.
NJIT,Georgia State,13,6,6,43,0,Jordan Session Turnover.
NJIT,Georgia State,13,6,6,43,0,Foul on Jordan Session.
NJIT,Georgia State,16,6,7,1,1,Tim Coleman made Three Point Jumper. Assisted by Damon Lynn.
NJIT,Georgia State,16,6,7,23,0,Isaiah Williams Turnover.
NJIT,Georgia State,16,6,7,24,0,Damon Lynn Steal.
NJIT,Georgia State,16,6,7,27,0,Tim Coleman missed Layup.
NJIT,Georgia State,16,6,7,27,0,Willie Clayton Defensive Rebound.
NJIT,Georgia State,16,6,7,49,0,D'Marcus Simonds missed Jumper.
NJIT,Georgia State,16,6,7,49,0,Willie Clayton Offensive Rebound.
NJIT,Georgia State,16,8,7,54,1,Willie Clayton made Layup.
NJIT,Georgia State,16,8,8,4,0,Chris Jenkins Turnover.
NJIT,Georgia State,16,8,8,4,0,Official TV Timeout
NJIT,Georgia State,16,8,8,18,0,Jeremy Hollowell missed Jumper.
NJIT,Georgia State,16,8,8,18,0,Osa Izevbuwa Defensive Rebound.
