Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Niagara,Marist,0,0,0,32,0,Brian Parker missed Three Point Jumper.
Niagara,Marist,0,0,0,32,0,Dominic Robb Defensive Rebound.
Niagara,Marist,2,0,0,50,1,Dominic Robb made Layup.
Niagara,Marist,2,2,1,9,1,Khallid Hart made Layup.
Niagara,Marist,2,2,1,33,0,Matt Scott missed Three Point Jumper.
Niagara,Marist,2,2,1,33,0,Dominic Robb Offensive Rebound.
Niagara,Marist,2,2,1,51,0,Foul on Tobias Sjoberg.
Niagara,Marist,2,2,2,3,0,Kahlil Dukes missed Three Point Jumper.
Niagara,Marist,2,2,2,3,0,Marist Deadball Team Rebound.
Niagara,Marist,2,2,2,22,0,Brian Parker missed Jumper.
Niagara,Marist,2,2,2,22,0,Matt Scott Defensive Rebound.
Niagara,Marist,2,2,2,28,0,Matt Scott missed Layup.
Niagara,Marist,2,2,2,28,0,Khallid Hart Block.
Niagara,Marist,2,2,2,29,0,Niagara Offensive Rebound.
Niagara,Marist,2,2,2,34,0,Kahlil Dukes Turnover.
Niagara,Marist,2,2,2,35,0,Khallid Hart Steal.
Niagara,Marist,2,4,2,37,1,Brian Parker made Layup.
Niagara,Marist,4,4,2,57,1,Matt Scott made Layup.
Niagara,Marist,4,4,3,17,0,Foul on Dominic Robb.
Niagara,Marist,4,4,3,17,0,Brian Parker missed Free Throw.
Niagara,Marist,4,4,3,17,0,Marist Deadball Team Rebound.
Niagara,Marist,4,5,3,17,1,Brian Parker made Free Throw.
Niagara,Marist,4,5,3,31,0,Marvin Prochet Turnover.
Niagara,Marist,4,5,3,32,0,Isaiah Lamb Steal.
Niagara,Marist,4,5,3,34,0,Isaiah Lamb missed Layup.
Niagara,Marist,4,5,3,34,0,Dwayne Pow Defensive Rebound.
Niagara,Marist,6,5,3,42,1,Dominic Robb made Layup. Assisted by Kahlil Dukes.
Niagara,Marist,6,7,4,0,1,Khallid Hart made Layup.
Niagara,Marist,6,7,4,10,0,Kahlil Dukes missed Layup.
Niagara,Marist,6,7,4,10,0,Ryan Funk Defensive Rebound.
Niagara,Marist,6,7,4,20,0,Tobias Sjoberg missed Jumper.
Niagara,Marist,6,7,4,20,0,Marvin Prochet Defensive Rebound.
Niagara,Marist,6,7,4,28,0,Foul on Ryan Funk.
Niagara,Marist,6,7,4,28,0,Official TV Timeout
Niagara,Marist,7,7,4,28,1,Dwayne Pow made Free Throw.
Niagara,Marist,8,7,4,28,1,Dwayne Pow made Free Throw.
Niagara,Marist,8,10,4,59,1,Ryan Funk made Three Point Jumper. Assisted by David Knudsen.
Niagara,Marist,8,10,5,14,0,Foul on Kentrall Brooks.
Niagara,Marist,8,10,5,15,0,Dwayne Pow Turnover.
Niagara,Marist,8,10,5,16,0,Kristinn Palsson Steal.
Niagara,Marist,8,12,5,19,1,David Knudsen made Layup. Assisted by Kristinn Palsson.
Niagara,Marist,10,12,5,36,1,Kahlil Dukes made Jumper.
Niagara,Marist,10,14,5,57,1,Ryan Funk made Jumper.
Niagara,Marist,10,14,6,15,0,Marvin Prochet missed Three Point Jumper.
Niagara,Marist,10,14,6,15,0,Matt Scott Offensive Rebound.
Niagara,Marist,10,14,6,21,0,Matt Scott missed Layup.
Niagara,Marist,10,14,6,21,0,Matt Scott Offensive Rebound.
Niagara,Marist,10,14,6,25,0,Matt Scott missed Two Point Tip Shot.
Niagara,Marist,10,14,6,25,0,Kristinn Palsson Defensive Rebound.
Niagara,Marist,10,14,6,29,0,Kristinn Palsson missed Three Point Jumper.
Niagara,Marist,10,14,6,29,0,Dwayne Pow Defensive Rebound.
Niagara,Marist,10,14,7,0,0,Kahlil Dukes Turnover.
Niagara,Marist,10,16,7,16,1,Kentrall Brooks made Jumper. Assisted by Isaiah Lamb.
Niagara,Marist,10,16,7,33,0,Matt Scott missed Three Point Jumper.
Niagara,Marist,10,16,7,33,0,David Knudsen Defensive Rebound.
Niagara,Marist,10,16,7,55,0,Brian Parker missed Jumper.
Niagara,Marist,10,16,7,55,0,Kentrall Brooks Offensive Rebound.
Niagara,Marist,10,18,7,57,1,Kentrall Brooks made Two Point Tip Shot.
Niagara,Marist,10,18,8,13,0,Foul on James Towns.
Niagara,Marist,10,18,8,13,0,James Towns Turnover.
Niagara,Marist,10,18,8,13,0,Official TV Timeout
Niagara,Marist,10,18,8,35,0,Khallid Hart missed Three Point Jumper.
Niagara,Marist,10,18,8,35,0,Brian Parker Offensive Rebound.
Niagara,Marist,10,18,8,42,0,Ryan Funk missed Three Point Jumper.
Niagara,Marist,10,18,8,42,0,Chris Barton Defensive Rebound.
Niagara,Marist,12,18,8,55,1,James Towns made Jumper.
Niagara,Marist,12,20,9,15,1,Ryan Funk made Layup. Assisted by Brian Parker.
Niagara,Marist,12,20,9,24,0,Dominic Robb missed Layup.
Niagara,Marist,12,20,9,24,0,Maurice Taylor Jr. Offensive Rebound.
Niagara,Marist,12,20,9,28,0,Foul on Tobias Sjoberg.
Niagara,Marist,12,20,9,32,0,Matt Scott missed Jumper.
Niagara,Marist,12,20,9,32,0,Maurice Taylor Jr. Offensive Rebound.
Niagara,Marist,12,20,9,38,0,Maurice Taylor Jr. missed Layup.
Niagara,Marist,12,20,9,38,0,Marist Defensive Rebound.
Niagara,Marist,12,20,10,0,0,Ryan Funk missed Three Point Jumper.
Niagara,Marist,12,20,10,0,0,Isaiah Lamb Offensive Rebound.
Niagara,Marist,12,22,10,4,1,Isaiah Lamb made Two Point Tip Shot.
Niagara,Marist,12,22,10,22,0,James Towns missed Three Point Jumper.
Niagara,Marist,12,22,10,22,0,Maurice Taylor Jr. Offensive Rebound.
Niagara,Marist,12,22,10,27,0,James Towns missed Jumper.
Niagara,Marist,12,22,10,27,0,Kentrall Brooks Block.
Niagara,Marist,12,22,10,28,0,Maurice Taylor Jr. Offensive Rebound.
Niagara,Marist,12,22,10,29,0,Foul on Brian Parker.
Niagara,Marist,12,22,10,29,0,Maurice Taylor Jr. missed Free Throw.
Niagara,Marist,12,22,10,29,0,Niagara Deadball Team Rebound.
Niagara,Marist,13,22,10,29,1,Maurice Taylor Jr. made Free Throw.
Niagara,Marist,13,22,10,40,0,Foul on Ryan Funk.
Niagara,Marist,13,22,10,40,0,Ryan Funk Turnover.
Niagara,Marist,13,22,11,4,0,James Towns missed Jumper.
Niagara,Marist,13,22,11,4,0,James Towns Offensive Rebound.
Niagara,Marist,13,22,11,8,0,James Towns missed Jumper.
Niagara,Marist,13,22,11,8,0,Maurice Taylor Jr. Offensive Rebound.
Niagara,Marist,13,22,11,11,0,Maurice Taylor Jr. Turnover.
Niagara,Marist,13,22,11,12,0,Kristinn Palsson Steal.
Niagara,Marist,13,22,11,19,0,Khallid Hart missed Three Point Jumper.
Niagara,Marist,13,22,11,19,0,Niagara Defensive Rebound.
Niagara,Marist,13,22,11,39,0,Dominic Robb missed Layup.
Niagara,Marist,13,22,11,39,0,Kentrall Brooks Defensive Rebound.
