Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Nicholls,San Diego,0,0,0,30,0,Tre O'Neal missed Three Point Jumper.
Nicholls,San Diego,0,0,0,30,0,Cameron Neubauer Defensive Rebound.
Nicholls,San Diego,0,0,0,49,0,Nassir Barrino missed Jumper.
Nicholls,San Diego,0,0,0,49,0,Liam Thomas Block.
Nicholls,San Diego,0,0,0,50,0,Ja'Dante' Frye Defensive Rebound.
Nicholls,San Diego,3,0,1,9,1,Jahvaughn Powell made Three Point Jumper. Assisted by Tre O'Neal.
Nicholls,San Diego,3,0,1,24,0,Cameron Neubauer missed Three Point Jumper.
Nicholls,San Diego,3,0,1,24,0,Ja'Dante' Frye Defensive Rebound.
Nicholls,San Diego,3,0,1,36,0,Liam Thomas Turnover.
Nicholls,San Diego,3,0,1,37,0,Cameron Neubauer Steal.
Nicholls,San Diego,3,0,1,41,0,Brett Bailey missed Layup.
Nicholls,San Diego,3,0,1,41,0,Liam Thomas Block.
Nicholls,San Diego,3,0,1,43,0,Ja'Dante' Frye Defensive Rebound.
Nicholls,San Diego,3,0,1,47,0,Foul on Cameron Neubauer.
Nicholls,San Diego,5,0,2,18,1,Ja'Dante' Frye made Layup. Assisted by Liam Thomas.
Nicholls,San Diego,5,2,2,34,1,Cameron Neubauer made Layup.
Nicholls,San Diego,8,2,3,5,1,Liam Thomas made Three Point Jumper. Assisted by Johnathan Bell.
Nicholls,San Diego,8,2,3,14,0,Foul on Jahvaughn Powell.
Nicholls,San Diego,8,4,3,33,1,Brett Bailey made Jumper. Assisted by Olin Carter III.
Nicholls,San Diego,8,4,3,59,0,Foul on Brett Bailey.
Nicholls,San Diego,11,4,4,12,1,Ja'Dante' Frye made Three Point Jumper. Assisted by Johnathan Bell.
Nicholls,San Diego,11,4,4,38,0,Brett Bailey missed Jumper.
Nicholls,San Diego,11,4,4,38,0,Jahvaughn Powell Defensive Rebound.
Nicholls,San Diego,11,4,4,50,0,Ja'Dante' Frye missed Three Point Jumper.
Nicholls,San Diego,11,4,4,50,0,Johnathan Bell Offensive Rebound.
Nicholls,San Diego,13,4,4,53,1,Johnathan Bell made Layup.
Nicholls,San Diego,13,4,4,54,0,San Diego  Timeout
Nicholls,San Diego,13,4,5,7,0,Mark Carbone missed Three Point Jumper.
Nicholls,San Diego,13,4,5,7,0,Brett Bailey Offensive Rebound.
Nicholls,San Diego,13,4,5,13,0,Brett Bailey missed Jumper.
Nicholls,San Diego,13,4,5,13,0,Ja'Dante' Frye Defensive Rebound.
Nicholls,San Diego,13,4,5,35,0,Foul on Olin Carter III.
Nicholls,San Diego,13,4,5,48,0,Ja'Dante' Frye missed Jumper.
Nicholls,San Diego,13,4,5,48,0,Brett Bailey Block.
