Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Northern Arizona,North Dakota,0,0,0,30,0,Marcus DeBerry missed Three Point Jumper.
Northern Arizona,North Dakota,0,0,0,30,0,Corey Baldwin Defensive Rebound.
Northern Arizona,North Dakota,0,0,0,50,0,Geno Crandall missed Layup.
Northern Arizona,North Dakota,0,0,0,51,0,North Dakota Offensive Rebound.
Northern Arizona,North Dakota,0,2,1,4,1,Conner Avants made Layup. Assisted by Drick Bernstine.
Northern Arizona,North Dakota,2,2,1,17,1,Kye de Laveaga made Jumper. Assisted by Mike Green.
Northern Arizona,North Dakota,2,4,1,32,1,Conner Avants made Layup.
Northern Arizona,North Dakota,2,4,1,51,0,Corey Brown Turnover.
Northern Arizona,North Dakota,2,4,1,51,0,Drick Bernstine Steal.
Northern Arizona,North Dakota,2,6,1,57,1,Corey Baldwin made Jumper.
Northern Arizona,North Dakota,2,6,2,16,0,Mike Green missed Three Point Jumper.
Northern Arizona,North Dakota,2,6,2,16,0,Corey Baldwin Defensive Rebound.
Northern Arizona,North Dakota,2,6,2,25,0,Drick Bernstine missed Layup.
Northern Arizona,North Dakota,2,6,2,25,0,Jordyn Martin Defensive Rebound.
Northern Arizona,North Dakota,2,6,2,34,0,Jordyn Martin missed Jumper.
Northern Arizona,North Dakota,2,6,2,35,0,Jordyn Martin Offensive Rebound.
Northern Arizona,North Dakota,4,6,2,36,1,Jordyn Martin made Jumper.
Northern Arizona,North Dakota,4,8,2,49,1,Drick Bernstine made Layup. Assisted by Geno Crandall.
Northern Arizona,North Dakota,7,8,3,5,1,Marcus DeBerry made Three Point Jumper.
Northern Arizona,North Dakota,7,8,3,14,0,Foul on Corey Brown.
Northern Arizona,North Dakota,7,8,3,21,0,Quinton Hooker missed Three Point Jumper.
Northern Arizona,North Dakota,7,8,3,21,0,Jordyn Martin Defensive Rebound.
Northern Arizona,North Dakota,7,8,3,29,0,Foul on Geno Crandall.
Northern Arizona,North Dakota,7,8,3,39,0,Chris Bowling Turnover.
Northern Arizona,North Dakota,7,8,3,41,0,Corey Baldwin Steal.
Northern Arizona,North Dakota,7,10,3,43,1,Corey Baldwin made Dunk.
Northern Arizona,North Dakota,7,10,4,0,0,Jordyn Martin Turnover.
Northern Arizona,North Dakota,7,10,4,14,0,Foul on JoJo Anderson.
Northern Arizona,North Dakota,7,10,4,14,0,Official TV Timeout
Northern Arizona,North Dakota,7,10,4,26,0,Quinton Hooker missed Jumper.
Northern Arizona,North Dakota,7,10,4,26,0,North Dakota Offensive Rebound.
Northern Arizona,North Dakota,7,13,4,45,1,Corey Baldwin made Three Point Jumper. Assisted by Josh Collins.
Northern Arizona,North Dakota,7,13,5,11,0,Brooks DeBisschop Turnover.
Northern Arizona,North Dakota,7,13,5,11,0,Quinton Hooker Steal.
Northern Arizona,North Dakota,7,13,5,27,0,Carson Shanks missed Jumper.
Northern Arizona,North Dakota,7,13,5,27,0,JoJo Anderson Defensive Rebound.
Northern Arizona,North Dakota,7,13,5,41,0,Kye de Laveaga missed Three Point Jumper.
Northern Arizona,North Dakota,7,13,5,41,0,Cortez Seales Defensive Rebound.
Northern Arizona,North Dakota,7,13,5,51,0,Corey Baldwin missed Three Point Jumper.
Northern Arizona,North Dakota,7,13,5,51,0,Northern Arizona Defensive Rebound.
Northern Arizona,North Dakota,7,13,6,4,0,Marcus DeBerry Turnover.
Northern Arizona,North Dakota,7,13,6,5,0,Cortez Seales Steal.
Northern Arizona,North Dakota,7,13,6,8,0,Cortez Seales missed Layup.
Northern Arizona,North Dakota,7,13,6,8,0,Kye de Laveaga Defensive Rebound.
Northern Arizona,North Dakota,7,13,6,13,0,Kye de Laveaga Turnover.
Northern Arizona,North Dakota,7,13,6,19,0,Drick Bernstine Turnover.
Northern Arizona,North Dakota,7,13,6,28,0,Isaiah Thomas Turnover.
Northern Arizona,North Dakota,7,13,6,45,0,Carson Shanks missed Free Throw.
Northern Arizona,North Dakota,7,13,6,45,0,Brooks DeBisschop Defensive Rebound.
Northern Arizona,North Dakota,7,13,6,56,0,Foul on Aziz Seck.
Northern Arizona,North Dakota,7,14,6,58,1,Carson Shanks made Free Throw.
Northern Arizona,North Dakota,7,14,7,1,0,Jordyn Martin missed Jumper.
Northern Arizona,North Dakota,7,14,7,1,0,Corey Baldwin Defensive Rebound.
Northern Arizona,North Dakota,7,14,7,9,0,Geno Crandall missed Three Point Jumper.
Northern Arizona,North Dakota,7,14,7,9,0,Drick Bernstine Offensive Rebound.
Northern Arizona,North Dakota,7,14,7,14,0,Foul on Jordyn Martin.
Northern Arizona,North Dakota,7,14,7,26,0,Drick Bernstine Turnover.
Northern Arizona,North Dakota,7,14,7,54,0,Mike Green missed Three Point Jumper.
Northern Arizona,North Dakota,7,14,7,54,0,Brooks DeBisschop Offensive Rebound.
Northern Arizona,North Dakota,7,14,7,58,0,Brooks DeBisschop missed Jumper.
Northern Arizona,North Dakota,7,14,7,58,0,Drick Bernstine Block.
Northern Arizona,North Dakota,7,14,8,0,0,Corey Baldwin Defensive Rebound.
Northern Arizona,North Dakota,7,14,8,14,0,Corey Baldwin Turnover.
Northern Arizona,North Dakota,7,14,8,15,0,Brooks DeBisschop Steal.
Northern Arizona,North Dakota,9,14,8,23,1,Mike Green made Jumper.
Northern Arizona,North Dakota,9,14,8,44,0,Foul on Brooks DeBisschop.
Northern Arizona,North Dakota,9,14,8,44,0,Official TV Timeout
Northern Arizona,North Dakota,9,15,8,44,1,Carson Shanks made Free Throw.
Northern Arizona,North Dakota,9,16,8,44,1,Carson Shanks made Free Throw.
Northern Arizona,North Dakota,9,16,8,55,0,Mike Green missed Three Point Jumper.
Northern Arizona,North Dakota,9,16,8,56,0,Quinton Hooker Defensive Rebound.
Northern Arizona,North Dakota,9,16,9,6,0,Drick Bernstine Turnover.
Northern Arizona,North Dakota,9,16,9,7,0,Mike Green Steal.
Northern Arizona,North Dakota,9,16,9,10,0,Foul on Drick Bernstine.
Northern Arizona,North Dakota,9,16,9,10,0,Brooks DeBisschop missed Free Throw.
Northern Arizona,North Dakota,9,16,9,10,0,Northern Arizona Deadball Team Rebound.
Northern Arizona,North Dakota,10,16,9,10,1,Brooks DeBisschop made Free Throw.
Northern Arizona,North Dakota,10,16,9,24,0,Foul on Chris Bowling.
Northern Arizona,North Dakota,10,17,9,24,1,Quinton Hooker made Free Throw.
Northern Arizona,North Dakota,10,17,9,24,0,Quinton Hooker missed Free Throw.
Northern Arizona,North Dakota,10,17,9,24,0,Jordyn Martin Defensive Rebound.
Northern Arizona,North Dakota,12,17,9,43,1,Chris Bowling made Dunk. Assisted by Brooks DeBisschop.
Northern Arizona,North Dakota,12,19,9,58,1,Conner Avants made Layup.
Northern Arizona,North Dakota,12,19,10,21,0,Brooks DeBisschop missed Three Point Jumper.
Northern Arizona,North Dakota,12,19,10,21,0,Geno Crandall Defensive Rebound.
Northern Arizona,North Dakota,12,19,10,46,0,Conner Avants missed Layup.
Northern Arizona,North Dakota,12,19,10,46,0,Jordyn Martin Defensive Rebound.
Northern Arizona,North Dakota,12,19,10,53,0,Brooks DeBisschop missed Layup.
Northern Arizona,North Dakota,12,19,10,53,0,Conner Avants Block.
Northern Arizona,North Dakota,12,19,10,55,0,Cortez Seales Defensive Rebound.
Northern Arizona,North Dakota,12,19,10,59,0,Drick Bernstine Turnover.
Northern Arizona,North Dakota,12,19,11,1,0,Mike Green Steal.
Northern Arizona,North Dakota,12,19,11,2,0,Foul on Conner Avants.
Northern Arizona,North Dakota,12,19,11,12,0,Corey Brown Turnover.
Northern Arizona,North Dakota,12,19,11,14,0,Drick Bernstine Steal.
Northern Arizona,North Dakota,12,21,11,17,1,Quinton Hooker made Layup.
Northern Arizona,North Dakota,14,21,11,42,1,Jordyn Martin made Layup.
Northern Arizona,North Dakota,14,21,11,52,0,Quinton Hooker missed Three Point Jumper.
Northern Arizona,North Dakota,14,21,11,52,0,JoJo Anderson Defensive Rebound.
Northern Arizona,North Dakota,14,21,12,9,0,Mike Green Turnover.
Northern Arizona,North Dakota,14,21,12,10,0,Conner Avants Steal.
Northern Arizona,North Dakota,14,21,12,16,0,Conner Avants Turnover.
Northern Arizona,North Dakota,14,21,12,16,0,Official TV Timeout
Northern Arizona,North Dakota,14,21,12,32,0,Corey Brown missed Jumper.
Northern Arizona,North Dakota,14,21,12,40,0,Corey Brown missed Jumper.
Northern Arizona,North Dakota,14,21,12,40,0,Quinton Hooker Defensive Rebound.
Northern Arizona,North Dakota,14,23,12,54,1,Josh Collins made Layup. Assisted by Geno Crandall.
Northern Arizona,North Dakota,16,23,13,21,1,Chris Bowling made Jumper.
Northern Arizona,North Dakota,16,25,13,26,1,Quinton Hooker made Layup.
Northern Arizona,North Dakota,18,25,13,35,1,JoJo Anderson made Layup.
Northern Arizona,North Dakota,18,25,13,37,0,Northern Arizona  Timeout
Northern Arizona,North Dakota,18,25,13,44,0,Carson Shanks missed Jumper.
Northern Arizona,North Dakota,18,25,13,44,0,Isaiah Thomas Defensive Rebound.
Northern Arizona,North Dakota,18,25,13,56,0,Mike Green Turnover.
Northern Arizona,North Dakota,18,25,13,57,0,Josh Collins Steal.
Northern Arizona,North Dakota,18,25,14,5,0,Corey Baldwin missed Three Point Jumper.
Northern Arizona,North Dakota,18,25,14,5,0,Corey Baldwin Offensive Rebound.
Northern Arizona,North Dakota,18,25,14,18,0,Foul on Jordyn Martin.
Northern Arizona,North Dakota,18,25,14,18,0,Carson Shanks missed Free Throw.
Northern Arizona,North Dakota,18,25,14,18,0,North Dakota Deadball Team Rebound.
Northern Arizona,North Dakota,18,26,14,18,1,Carson Shanks made Free Throw.
Northern Arizona,North Dakota,18,26,14,38,0,Chris Bowling Turnover.
Northern Arizona,North Dakota,18,26,14,54,0,Corey Baldwin missed Layup.
Northern Arizona,North Dakota,18,26,14,54,0,Chris Bowling Defensive Rebound.
Northern Arizona,North Dakota,18,26,15,0,0,Foul on Josh Collins.
Northern Arizona,North Dakota,21,26,15,16,1,Marcus DeBerry made Three Point Jumper. Assisted by JoJo Anderson.
Northern Arizona,North Dakota,21,26,15,33,0,Carson Shanks missed Layup.
Northern Arizona,North Dakota,21,26,15,33,0,Isaiah Thomas Defensive Rebound.
Northern Arizona,North Dakota,21,26,16,1,0,Isaiah Thomas missed Jumper.
Northern Arizona,North Dakota,21,26,16,1,0,Geno Crandall Defensive Rebound.
Northern Arizona,North Dakota,21,28,16,6,1,Geno Crandall made Layup.
Northern Arizona,North Dakota,21,28,16,6,0,Foul on Kye de Laveaga.
Northern Arizona,North Dakota,21,28,16,6,0,Official TV Timeout
Northern Arizona,North Dakota,21,29,16,6,1,Geno Crandall made Free Throw.
Northern Arizona,North Dakota,24,29,16,27,1,Kye de Laveaga made Three Point Jumper. Assisted by Mike Green.
Northern Arizona,North Dakota,24,29,16,53,0,Kienan Walter missed Three Point Jumper.
Northern Arizona,North Dakota,24,29,16,53,0,Northern Arizona Defensive Rebound.
Northern Arizona,North Dakota,24,29,17,10,0,Mike Green missed Jumper.
Northern Arizona,North Dakota,24,29,17,10,0,Geno Crandall Defensive Rebound.
Northern Arizona,North Dakota,24,29,17,33,0,Conner Avants missed Layup.
Northern Arizona,North Dakota,24,29,17,33,0,Kye de Laveaga Defensive Rebound.
Northern Arizona,North Dakota,24,29,17,40,0,Foul on Kienan Walter.
Northern Arizona,North Dakota,24,29,17,49,0,Marcus DeBerry Turnover.
Northern Arizona,North Dakota,24,29,17,51,0,Conner Avants Steal.
Northern Arizona,North Dakota,24,31,17,55,1,Quinton Hooker made Jumper.
Northern Arizona,North Dakota,24,31,18,15,0,Brooks DeBisschop missed Jumper.
Northern Arizona,North Dakota,24,31,18,15,0,Steven Stanley Offensive Rebound.
Northern Arizona,North Dakota,24,31,18,18,0,Corey Brown missed Jumper.
Northern Arizona,North Dakota,24,31,18,18,0,Cortez Seales Block.
Northern Arizona,North Dakota,24,31,18,19,0,Brooks DeBisschop Offensive Rebound.
Northern Arizona,North Dakota,24,31,18,21,0,Kye de Laveaga missed Three Point Jumper.
Northern Arizona,North Dakota,24,31,18,23,0,Cortez Seales Defensive Rebound.
Northern Arizona,North Dakota,24,31,18,38,0,Cortez Seales missed Jumper.
Northern Arizona,North Dakota,24,31,18,38,0,Brooks DeBisschop Defensive Rebound.
Northern Arizona,North Dakota,26,31,18,52,1,Marcus DeBerry made Jumper. Assisted by Mike Green.
Northern Arizona,North Dakota,26,33,19,11,1,Conner Avants made Layup. Assisted by Quinton Hooker.
Northern Arizona,North Dakota,26,33,19,25,0,Foul on Steven Stanley.
Northern Arizona,North Dakota,26,33,19,25,0,Steven Stanley Turnover.
Northern Arizona,North Dakota,26,33,19,25,0,North Dakota  Timeout
Northern Arizona,North Dakota,26,33,19,54,0,Geno Crandall missed Layup.
Northern Arizona,North Dakota,26,33,19,54,0,Brooks DeBisschop Defensive Rebound.
Northern Arizona,North Dakota,26,33,19,58,0,Mike Green missed Three Point Jumper.
Northern Arizona,North Dakota,26,33,20,0,0,North Dakota Defensive Rebound.
Northern Arizona,North Dakota,26,33,20,0,0,End of 1st half
Northern Arizona,North Dakota,28,33,20,25,1,Jordyn Martin made Jumper.
Northern Arizona,North Dakota,28,33,20,42,0,Corey Baldwin Turnover.
Northern Arizona,North Dakota,28,33,21,10,0,Jordyn Martin missed Jumper.
Northern Arizona,North Dakota,28,33,21,10,0,Conner Avants Defensive Rebound.
Northern Arizona,North Dakota,28,33,21,28,0,Quinton Hooker missed Layup.
Northern Arizona,North Dakota,28,33,21,28,0,Jordyn Martin Defensive Rebound.
