Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Northern Iowa,Missouri State,0,0,0,26,0,Austin Ruder Turnover.
Northern Iowa,Missouri State,0,0,0,27,0,Juwan McCloud Steal.
Northern Iowa,Missouri State,0,0,0,47,0,Jeremy Morgan missed Three Point Jumper.
Northern Iowa,Missouri State,0,0,0,47,0,Austin Ruder Defensive Rebound.
Northern Iowa,Missouri State,0,0,0,54,0,Alize Johnson missed Jumper.
Northern Iowa,Missouri State,0,0,0,54,0,Obediah Church Offensive Rebound.
Northern Iowa,Missouri State,0,0,1,0,0,Obediah Church Turnover.
Northern Iowa,Missouri State,0,0,1,1,0,Klint Carlson Steal.
Northern Iowa,Missouri State,0,0,1,10,0,Juwan McCloud missed Jumper.
Northern Iowa,Missouri State,0,0,1,10,0,Alize Johnson Defensive Rebound.
Northern Iowa,Missouri State,0,0,1,19,0,Alize Johnson Turnover.
Northern Iowa,Missouri State,0,0,1,35,0,Foul on Jarrid Rhodes.
Northern Iowa,Missouri State,0,0,1,42,0,Jeremy Morgan Turnover.
Northern Iowa,Missouri State,0,0,1,43,0,Obediah Church Steal.
Northern Iowa,Missouri State,0,0,1,50,0,Dequon Miller Turnover.
Northern Iowa,Missouri State,3,0,2,14,1,Klint Carlson made Three Point Jumper.
Northern Iowa,Missouri State,3,0,2,34,0,Dequon Miller missed Three Point Jumper.
Northern Iowa,Missouri State,3,0,2,34,0,Jeremy Morgan Defensive Rebound.
Northern Iowa,Missouri State,5,0,2,48,1,Klint Carlson made Jumper.
Northern Iowa,Missouri State,5,0,3,23,0,Dequon Miller Turnover.
Northern Iowa,Missouri State,5,0,3,41,0,Juwan McCloud missed Jumper.
Northern Iowa,Missouri State,5,0,3,42,0,Austin Ruder Block.
Northern Iowa,Missouri State,5,0,3,43,0,Obediah Church Defensive Rebound.
Northern Iowa,Missouri State,5,0,4,6,0,Austin Ruder missed Three Point Jumper.
Northern Iowa,Missouri State,5,0,4,6,0,Obediah Church Offensive Rebound.
Northern Iowa,Missouri State,5,0,4,12,0,Obediah Church missed Jumper.
Northern Iowa,Missouri State,5,0,4,12,0,Jarrid Rhodes Offensive Rebound.
Northern Iowa,Missouri State,5,2,4,16,1,Jarrid Rhodes made Jumper.
Northern Iowa,Missouri State,5,2,4,38,0,Foul on Bennett Koch.
Northern Iowa,Missouri State,5,2,4,38,0,Bennett Koch Turnover.
Northern Iowa,Missouri State,5,2,4,38,0,Official TV Timeout
Northern Iowa,Missouri State,5,2,5,6,0,Jarrid Rhodes missed Jumper.
Northern Iowa,Missouri State,5,2,5,6,0,Klint Carlson Defensive Rebound.
Northern Iowa,Missouri State,8,2,5,13,1,Jordan Ashton made Three Point Jumper. Assisted by Spencer Haldeman.
Northern Iowa,Missouri State,8,4,5,37,1,Ryan Kreklow made Layup.
Northern Iowa,Missouri State,8,4,5,52,0,Luke McDonnell missed Jumper.
Northern Iowa,Missouri State,8,4,5,52,0,Jarrid Rhodes Defensive Rebound.
Northern Iowa,Missouri State,8,4,6,19,0,Chris Kendrix missed Three Point Jumper.
Northern Iowa,Missouri State,8,4,6,19,0,Ryan Kreklow Offensive Rebound.
Northern Iowa,Missouri State,8,4,6,29,0,Obediah Church Turnover.
Northern Iowa,Missouri State,8,4,6,42,0,Spencer Haldeman Turnover.
Northern Iowa,Missouri State,8,4,6,43,0,Chris Kendrix Steal.
Northern Iowa,Missouri State,8,6,6,45,1,Jarred Dixon made Layup. Assisted by Chris Kendrix.
Northern Iowa,Missouri State,8,6,7,9,0,Luke McDonnell missed Jumper.
Northern Iowa,Missouri State,8,6,7,9,0,Jarred Dixon Defensive Rebound.
Northern Iowa,Missouri State,8,6,7,34,0,Foul on Luke McDonnell.
Northern Iowa,Missouri State,8,6,7,34,0,Jordan Martin missed Free Throw.
Northern Iowa,Missouri State,8,6,7,34,0,Missouri St Deadball Team Rebound.
Northern Iowa,Missouri State,8,7,7,34,1,Jordan Martin made Free Throw.
Northern Iowa,Missouri State,8,7,8,1,0,Juwan McCloud missed Three Point Jumper.
Northern Iowa,Missouri State,8,7,8,1,0,Jarred Dixon Defensive Rebound.
Northern Iowa,Missouri State,8,7,8,26,0,Ryan Kreklow missed Jumper.
Northern Iowa,Missouri State,8,7,8,26,0,Jordan Ashton Defensive Rebound.
