Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Oakland,Wright State,2,0,0,11,1,Jalen Hayes made Layup. Assisted by Brailen Neely.
Oakland,Wright State,2,0,0,28,0,Steven Davis Turnover.
Oakland,Wright State,2,0,0,29,0,Brailen Neely Steal.
Oakland,Wright State,2,0,0,35,0,Foul on Steven Davis.
Oakland,Wright State,3,0,0,35,1,Sherron Dorsey-Walker made Free Throw.
Oakland,Wright State,4,0,0,35,1,Sherron Dorsey-Walker made Free Throw.
Oakland,Wright State,4,0,0,42,0,Mark Alstork missed Three Point Jumper.
Oakland,Wright State,4,0,0,42,0,Wright St Offensive Rebound.
Oakland,Wright State,4,0,0,44,0,Foul on Isaiah Brock.
Oakland,Wright State,4,3,0,48,1,Steven Davis made Three Point Jumper. Assisted by Justin Mitchell.
Oakland,Wright State,4,3,1,5,0,Sherron Dorsey-Walker missed Three Point Jumper.
Oakland,Wright State,4,3,1,5,0,Wright St Defensive Rebound.
Oakland,Wright State,4,3,1,15,0,Grant Benzinger missed Three Point Jumper.
Oakland,Wright State,4,3,1,15,0,Steven Davis Offensive Rebound.
Oakland,Wright State,4,3,1,22,0,Justin Mitchell missed Jumper.
Oakland,Wright State,4,3,1,22,0,Sherron Dorsey-Walker Defensive Rebound.
Oakland,Wright State,4,3,1,43,0,Martez Walker missed Three Point Jumper.
Oakland,Wright State,4,3,1,43,0,Steven Davis Defensive Rebound.
Oakland,Wright State,4,3,1,55,0,Steven Davis missed Layup.
Oakland,Wright State,4,3,1,55,0,Jalen Hayes Defensive Rebound.
Oakland,Wright State,4,3,2,4,0,Oakland  Timeout
Oakland,Wright State,4,3,2,15,0,Foul on Steven Davis.
Oakland,Wright State,4,3,2,17,0,Isaiah Brock missed Jumper.
Oakland,Wright State,4,3,2,17,0,Justin Mitchell Defensive Rebound.
Oakland,Wright State,4,5,2,28,1,Parker Ernsthausen made Jumper. Assisted by Mark Alstork.
Oakland,Wright State,4,5,2,39,0,Brailen Neely Turnover.
Oakland,Wright State,4,5,2,50,0,Mark Alstork Turnover.
Oakland,Wright State,4,5,2,52,0,Sherron Dorsey-Walker Steal.
Oakland,Wright State,7,5,3,14,1,Martez Walker made Three Point Jumper. Assisted by Nick Daniels.
Oakland,Wright State,7,7,3,32,1,Parker Ernsthausen made Layup.
Oakland,Wright State,7,7,3,47,0,Jalen Hayes missed Jumper.
Oakland,Wright State,7,7,3,47,0,Wright St Defensive Rebound.
Oakland,Wright State,7,7,4,1,0,Foul on Sherron Dorsey-Walker.
Oakland,Wright State,7,7,4,1,0,Official TV Timeout
Oakland,Wright State,7,8,4,1,1,Mark Alstork made Free Throw.
Oakland,Wright State,7,9,4,1,1,Mark Alstork made Free Throw.
Oakland,Wright State,7,9,4,14,0,Foul on Grant Benzinger.
Oakland,Wright State,7,9,4,26,0,Nick Daniels Turnover.
Oakland,Wright State,7,9,4,38,0,Foul on Stevie Clark.
