Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Massachusetts,Ole Miss,0,0,0,12,0,Sebastian Saiz missed Three Point Jumper.
Massachusetts,Ole Miss,0,0,0,12,0,Zach Coleman Defensive Rebound.
Massachusetts,Ole Miss,0,0,0,21,0,Luwane Pipkins Turnover.
Massachusetts,Ole Miss,0,0,0,30,0,Rasheed Brooks missed Jumper.
Massachusetts,Ole Miss,0,0,0,30,0,Rashaan Holloway Defensive Rebound.
Massachusetts,Ole Miss,0,0,0,55,0,Rashaan Holloway missed Layup.
Massachusetts,Ole Miss,0,0,0,55,0,Deandre Burnett Defensive Rebound.
Massachusetts,Ole Miss,0,2,1,5,1,Rasheed Brooks made Layup.
Massachusetts,Ole Miss,0,2,1,24,0,Foul on Rasheed Brooks.
Massachusetts,Ole Miss,1,2,1,24,1,Dejon Jarreau made Free Throw.
Massachusetts,Ole Miss,2,2,1,24,1,Dejon Jarreau made Free Throw.
Massachusetts,Ole Miss,2,2,1,31,0,Justas Furmanavicius missed Layup.
Massachusetts,Ole Miss,2,2,1,31,0,Sebastian Saiz Offensive Rebound.
Massachusetts,Ole Miss,2,2,1,36,0,Foul on Donte Clark.
Massachusetts,Ole Miss,2,3,1,36,1,Sebastian Saiz made Free Throw.
Massachusetts,Ole Miss,2,4,1,36,1,Sebastian Saiz made Free Throw.
Massachusetts,Ole Miss,2,4,1,45,0,Rashaan Holloway Turnover.
Massachusetts,Ole Miss,2,4,1,45,0,Deandre Burnett Steal.
Massachusetts,Ole Miss,2,4,1,48,0,Deandre Burnett missed Layup.
Massachusetts,Ole Miss,2,4,1,48,0,Dejon Jarreau Block.
Massachusetts,Ole Miss,2,4,1,50,0,Donte Clark Defensive Rebound.
Massachusetts,Ole Miss,2,4,1,52,0,Donte Clark missed Layup.
Massachusetts,Ole Miss,2,4,1,52,0,Justas Furmanavicius Block.
Massachusetts,Ole Miss,2,4,1,56,0,Rasheed Brooks Defensive Rebound.
Massachusetts,Ole Miss,2,4,2,2,0,Deandre Burnett missed Layup.
Massachusetts,Ole Miss,2,4,2,2,0,Rashaan Holloway Defensive Rebound.
Massachusetts,Ole Miss,2,4,2,7,0,Foul on Deandre Burnett.
Massachusetts,Ole Miss,5,4,2,8,1,Luwane Pipkins made Three Point Jumper. Assisted by Dejon Jarreau.
Massachusetts,Ole Miss,5,4,2,9,0,Foul on Deandre Burnett.
Massachusetts,Ole Miss,6,4,2,9,1,Luwane Pipkins made Free Throw.
Massachusetts,Ole Miss,6,4,2,18,0,Foul on Rashaan Holloway.
Massachusetts,Ole Miss,6,5,2,18,1,Sebastian Saiz made Free Throw.
Massachusetts,Ole Miss,6,6,2,18,1,Sebastian Saiz made Free Throw.
Massachusetts,Ole Miss,6,6,2,26,0,Zach Coleman missed Three Point Jumper.
Massachusetts,Ole Miss,6,6,2,26,0,Terence Davis Defensive Rebound.
Massachusetts,Ole Miss,6,6,2,51,0,Terence Davis missed Three Point Jumper.
Massachusetts,Ole Miss,6,6,2,51,0,Justas Furmanavicius Offensive Rebound.
Massachusetts,Ole Miss,6,6,2,54,0,Cullen Neal missed Three Point Jumper.
Massachusetts,Ole Miss,6,6,2,54,0,Rashaan Holloway Defensive Rebound.
Massachusetts,Ole Miss,9,6,3,3,1,Luwane Pipkins made Three Point Jumper.
Massachusetts,Ole Miss,9,6,3,16,0,Rasheed Brooks missed Three Point Jumper.
Massachusetts,Ole Miss,9,6,3,16,0,Luwane Pipkins Defensive Rebound.
Massachusetts,Ole Miss,9,6,3,24,0,Dejon Jarreau missed Three Point Jumper.
Massachusetts,Ole Miss,9,6,3,24,0,Massachusetts Offensive Rebound.
Massachusetts,Ole Miss,9,6,3,33,0,Malik Hines Turnover.
Massachusetts,Ole Miss,9,6,3,34,0,Cullen Neal Turnover.
Massachusetts,Ole Miss,9,6,3,34,0,Donte Clark Steal.
Massachusetts,Ole Miss,9,6,3,45,0,Foul on Marcanvis Hymon.
Massachusetts,Ole Miss,9,6,3,52,0,Luwane Pipkins missed Three Point Jumper.
Massachusetts,Ole Miss,9,6,3,52,0,Sebastian Saiz Defensive Rebound.
Massachusetts,Ole Miss,9,6,3,55,0,Foul on Malik Hines.
Massachusetts,Ole Miss,9,6,4,2,0,Foul on Luwane Pipkins.
Massachusetts,Ole Miss,9,6,4,2,0,Official TV Timeout
Massachusetts,Ole Miss,9,8,4,7,1,Terence Davis made Layup.
Massachusetts,Ole Miss,9,8,4,26,0,Malik Hines Turnover.
Massachusetts,Ole Miss,9,8,4,27,0,Cullen Neal Steal.
Massachusetts,Ole Miss,9,10,4,30,1,Cullen Neal made Layup.
Massachusetts,Ole Miss,9,10,4,44,0,Dejon Jarreau Turnover.
Massachusetts,Ole Miss,9,12,4,56,1,Sebastian Saiz made Layup.
Massachusetts,Ole Miss,9,12,5,16,0,Tyrn Flowers missed Three Point Jumper.
Massachusetts,Ole Miss,9,12,5,16,0,Sebastian Saiz Defensive Rebound.
Massachusetts,Ole Miss,9,12,5,26,0,Sebastian Saiz missed Jumper.
Massachusetts,Ole Miss,9,12,5,26,0,Tyrn Flowers Defensive Rebound.
Massachusetts,Ole Miss,9,12,5,32,0,Tyrn Flowers Turnover.
Massachusetts,Ole Miss,9,12,5,32,0,Donte Fitzpatrick-Dorsey Steal.
Massachusetts,Ole Miss,9,12,5,35,0,Cullen Neal missed Three Point Jumper.
Massachusetts,Ole Miss,9,12,5,35,0,Cullen Neal Offensive Rebound.
Massachusetts,Ole Miss,9,12,5,41,0,Cullen Neal missed Layup.
Massachusetts,Ole Miss,9,12,5,41,0,Marcanvis Hymon Offensive Rebound.
Massachusetts,Ole Miss,9,14,5,43,1,Marcanvis Hymon made Dunk.
Massachusetts,Ole Miss,9,14,5,43,0,Massachusetts  Timeout
Massachusetts,Ole Miss,9,14,6,16,0,Foul on Donte Fitzpatrick-Dorsey.
Massachusetts,Ole Miss,9,14,6,16,0,Foul on Marcanvis Hymon.
Massachusetts,Ole Miss,9,14,6,19,0,Rashaan Holloway missed Layup.
Massachusetts,Ole Miss,9,14,6,19,0,C.J. Anderson Offensive Rebound.
Massachusetts,Ole Miss,9,14,6,22,0,Foul on Terence Davis.
Massachusetts,Ole Miss,10,14,6,22,1,C.J. Anderson made Free Throw.
Massachusetts,Ole Miss,10,14,6,22,0,C.J. Anderson missed Free Throw.
Massachusetts,Ole Miss,10,14,6,22,0,Sebastian Saiz Defensive Rebound.
Massachusetts,Ole Miss,10,14,6,39,0,Terence Davis missed Three Point Jumper.
Massachusetts,Ole Miss,10,14,6,39,0,Sebastian Saiz Offensive Rebound.
Massachusetts,Ole Miss,10,14,6,45,0,Foul on Donte Clark.
Massachusetts,Ole Miss,10,14,6,45,0,Sebastian Saiz missed Free Throw.
Massachusetts,Ole Miss,10,14,6,45,0,Ole Miss Deadball Team Rebound.
Massachusetts,Ole Miss,10,14,6,45,0,Sebastian Saiz missed Free Throw.
Massachusetts,Ole Miss,10,14,6,45,0,Tyrn Flowers Defensive Rebound.
Massachusetts,Ole Miss,10,14,6,57,0,Rashaan Holloway missed Layup.
Massachusetts,Ole Miss,10,14,6,57,0,Sebastian Saiz Defensive Rebound.
Massachusetts,Ole Miss,10,17,7,4,1,Cullen Neal made Three Point Jumper.
Massachusetts,Ole Miss,10,17,7,13,0,C.J. Anderson Turnover.
Massachusetts,Ole Miss,10,17,7,14,0,Cullen Neal Steal.
Massachusetts,Ole Miss,10,17,7,18,0,Cullen Neal missed Jumper.
Massachusetts,Ole Miss,10,17,7,18,0,Sebastian Saiz Offensive Rebound.
Massachusetts,Ole Miss,10,17,7,23,0,Sebastian Saiz missed Layup.
Massachusetts,Ole Miss,10,17,7,23,0,Donte Fitzpatrick-Dorsey Offensive Rebound.
Massachusetts,Ole Miss,10,19,7,26,1,Donte Fitzpatrick-Dorsey made Two Point Tip Shot.
Massachusetts,Ole Miss,13,19,7,30,1,Zach Lewis made Three Point Jumper. Assisted by C.J. Anderson.
Massachusetts,Ole Miss,13,19,7,39,0,Foul on Rashaan Holloway.
Massachusetts,Ole Miss,13,20,7,39,1,Sebastian Saiz made Free Throw.
Massachusetts,Ole Miss,13,20,7,39,0,Sebastian Saiz missed Free Throw.
Massachusetts,Ole Miss,13,20,7,39,0,Dejon Jarreau Defensive Rebound.
Massachusetts,Ole Miss,13,20,7,59,0,Dejon Jarreau Turnover.
Massachusetts,Ole Miss,13,20,8,9,0,Justas Furmanavicius missed Layup.
Massachusetts,Ole Miss,13,20,8,9,0,Chris Baldwin Block.
Massachusetts,Ole Miss,13,20,8,10,0,Ole Miss Offensive Rebound.
Massachusetts,Ole Miss,13,20,8,11,0,Official TV Timeout
Massachusetts,Ole Miss,13,22,8,17,1,Rasheed Brooks made Jumper.
Massachusetts,Ole Miss,13,22,8,35,0,Foul on Cullen Neal.
Massachusetts,Ole Miss,14,22,8,35,1,Zach Lewis made Free Throw.
Massachusetts,Ole Miss,14,22,8,35,0,Zach Lewis missed Free Throw.
Massachusetts,Ole Miss,14,22,8,35,0,Massachusetts Deadball Team Rebound.
Massachusetts,Ole Miss,15,22,8,35,1,Zach Lewis made Free Throw.
Massachusetts,Ole Miss,15,22,8,54,0,Foul on Luwane Pipkins.
Massachusetts,Ole Miss,15,23,8,54,1,Cullen Neal made Free Throw.
Massachusetts,Ole Miss,15,23,8,54,0,Cullen Neal missed Free Throw.
Massachusetts,Ole Miss,15,23,8,54,0,Dejon Jarreau Defensive Rebound.
Massachusetts,Ole Miss,15,23,9,6,0,Foul on Rasheed Brooks.
Massachusetts,Ole Miss,16,23,9,6,1,Dejon Jarreau made Free Throw.
Massachusetts,Ole Miss,17,23,9,6,1,Dejon Jarreau made Free Throw.
Massachusetts,Ole Miss,17,23,9,16,0,Terence Davis Turnover.
Massachusetts,Ole Miss,17,23,9,42,0,Chris Baldwin missed Jumper.
Massachusetts,Ole Miss,17,23,9,42,0,Rasheed Brooks Defensive Rebound.
Massachusetts,Ole Miss,17,26,9,51,1,Cullen Neal made Three Point Jumper.
Massachusetts,Ole Miss,17,26,10,9,0,Zach Lewis missed Three Point Jumper.
Massachusetts,Ole Miss,17,26,10,9,0,Zach Coleman Offensive Rebound.
Massachusetts,Ole Miss,17,26,10,27,0,Dejon Jarreau missed Layup.
Massachusetts,Ole Miss,17,26,10,27,0,Massachusetts Offensive Rebound.
Massachusetts,Ole Miss,17,26,10,47,0,Zach Lewis missed Three Point Jumper.
Massachusetts,Ole Miss,17,26,10,47,0,Breein Tyree Defensive Rebound.
Massachusetts,Ole Miss,17,26,11,8,0,Terence Davis missed Layup.
Massachusetts,Ole Miss,17,26,11,8,0,Zach Coleman Block.
