Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Villanova,Pennsylvania,0,0,0,0,0,Jump Ball won by Pennsylvania
Villanova,Pennsylvania,0,0,0,15,0,AJ Brodeur missed Jumper.
Villanova,Pennsylvania,0,0,0,15,0,Kris Jenkins Defensive Rebound.
Villanova,Pennsylvania,3,0,0,25,1,Kris Jenkins made Three Point Jumper.
Villanova,Pennsylvania,3,3,0,36,1,Jackson Donahue made Three Point Jumper. Assisted by Matt MacDonald.
Villanova,Pennsylvania,6,3,1,1,1,Donte DiVincenzo made Three Point Jumper. Assisted by Kris Jenkins.
Villanova,Pennsylvania,6,3,1,29,0,Matt MacDonald missed Three Point Jumper.
Villanova,Pennsylvania,6,3,1,29,0,Darryl Reynolds Defensive Rebound.
Villanova,Pennsylvania,6,3,1,29,0,Foul on Darnell Foreman.
Villanova,Pennsylvania,8,3,2,9,1,Darryl Reynolds made Jumper.
Villanova,Pennsylvania,8,3,2,25,0,Matt Howard Turnover.
Villanova,Pennsylvania,8,3,2,25,0,Jalen Brunson Steal.
Villanova,Pennsylvania,10,3,2,29,1,Jalen Brunson made Layup.
Villanova,Pennsylvania,10,3,2,45,0,Jackson Donahue missed Three Point Jumper.
Villanova,Pennsylvania,10,3,2,45,0,Matt Howard Offensive Rebound.
Villanova,Pennsylvania,10,3,2,55,0,Matt Howard missed Three Point Jumper.
Villanova,Pennsylvania,10,3,2,55,0,AJ Brodeur Offensive Rebound.
Villanova,Pennsylvania,10,3,3,5,0,Matt Howard missed Layup.
Villanova,Pennsylvania,10,3,3,5,0,Pennsylvania Deadball Team Rebound.
Villanova,Pennsylvania,10,5,3,20,1,AJ Brodeur made Jumper. Assisted by Darnell Foreman.
Villanova,Pennsylvania,12,5,3,41,1,Kris Jenkins made Jumper. Assisted by Mikal Bridges.
Villanova,Pennsylvania,12,5,4,14,0,Matt Howard missed Layup.
Villanova,Pennsylvania,12,5,4,14,0,Donte DiVincenzo Block.
Villanova,Pennsylvania,12,5,4,14,0,Pennsylvania Deadball Team Rebound.
Villanova,Pennsylvania,12,5,4,21,0,Official TV Timeout
Villanova,Pennsylvania,12,8,4,25,1,Jackson Donahue made Three Point Jumper. Assisted by AJ Brodeur.
Villanova,Pennsylvania,15,8,4,42,1,Kris Jenkins made Three Point Jumper. Assisted by Jalen Brunson.
Villanova,Pennsylvania,15,8,5,11,0,Matt Howard Turnover.
Villanova,Pennsylvania,15,8,5,25,0,Eric Paschall missed Three Point Jumper.
Villanova,Pennsylvania,15,8,5,25,0,Kris Jenkins Offensive Rebound.
Villanova,Pennsylvania,15,8,5,27,0,Foul on Matt MacDonald.
Villanova,Pennsylvania,15,8,5,43,0,Eric Paschall Turnover.
Villanova,Pennsylvania,15,8,5,43,0,Matt MacDonald Steal.
Villanova,Pennsylvania,15,10,5,55,1,Darnell Foreman made Layup.
Villanova,Pennsylvania,18,10,6,12,1,Jalen Brunson made Three Point Jumper. Assisted by Mikal Bridges.
Villanova,Pennsylvania,18,13,6,23,1,Matt Howard made Three Point Jumper. Assisted by Darnell Foreman.
Villanova,Pennsylvania,18,13,6,48,0,Jalen Brunson missed Three Point Jumper.
Villanova,Pennsylvania,18,13,6,48,0,Max Rothschild Defensive Rebound.
Villanova,Pennsylvania,18,13,6,51,0,Foul on Eric Paschall.
Villanova,Pennsylvania,18,13,7,16,0,Darnell Foreman missed Three Point Jumper.
Villanova,Pennsylvania,18,13,7,16,0,Max Rothschild Offensive Rebound.
Villanova,Pennsylvania,18,13,7,16,0,Max Rothschild Turnover.
Villanova,Pennsylvania,18,13,7,16,0,Mikal Bridges Steal.
Villanova,Pennsylvania,21,13,7,34,1,Mikal Bridges made Three Point Jumper. Assisted by Josh Hart.
Villanova,Pennsylvania,21,13,7,50,0,Foul on Donte DiVincenzo.
Villanova,Pennsylvania,21,13,7,59,0,Tyler Hamilton Turnover.
Villanova,Pennsylvania,21,13,8,11,0,Official TV Timeout
Villanova,Pennsylvania,21,13,8,11,0,Darryl Reynolds Turnover.
Villanova,Pennsylvania,21,13,8,11,0,Max Rothschild Steal.
Villanova,Pennsylvania,21,13,8,39,0,Darnell Foreman missed Jumper.
Villanova,Pennsylvania,21,13,8,39,0,Darryl Reynolds Defensive Rebound.
Villanova,Pennsylvania,21,13,9,13,0,Villanova  Turnover.
Villanova,Pennsylvania,21,13,9,24,0,Foul on Jalen Brunson.
Villanova,Pennsylvania,21,13,9,37,0,Caleb Wood missed Three Point Jumper.
Villanova,Pennsylvania,21,13,9,37,0,Darryl Reynolds Defensive Rebound.
Villanova,Pennsylvania,21,13,10,1,0,Foul on Max Rothschild.
Villanova,Pennsylvania,21,13,10,3,0,Jalen Brunson missed Three Point Jumper.
