Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
BYU,Pepperdine,0,0,0,15,0,Lamond Murray Jr. missed Layup.
BYU,Pepperdine,0,0,0,15,0,Yoeli Childs Defensive Rebound.
BYU,Pepperdine,2,0,0,29,1,Nick Emery made Layup.
BYU,Pepperdine,2,0,0,44,0,Foul on Yoeli Childs.
BYU,Pepperdine,2,1,0,44,1,Chris Reyes made Free Throw.
BYU,Pepperdine,2,2,0,44,1,Chris Reyes made Free Throw.
BYU,Pepperdine,5,2,0,53,1,Nick Emery made Three Point Jumper. Assisted by Elijah Bryant.
BYU,Pepperdine,5,2,1,12,0,Chris Reyes missed Layup.
BYU,Pepperdine,5,2,1,12,0,Eric Mika Block.
BYU,Pepperdine,5,2,1,13,0,Chris Reyes Offensive Rebound.
BYU,Pepperdine,5,5,1,14,1,Jeremy Major made Three Point Jumper. Assisted by Chris Reyes.
BYU,Pepperdine,5,5,1,23,0,Foul on Nolan Taylor.
BYU,Pepperdine,7,5,1,25,1,Eric Mika made Jumper. Assisted by TJ Haws.
BYU,Pepperdine,7,5,1,25,0,Foul on Lamond Murray Jr..
BYU,Pepperdine,8,5,1,25,1,Eric Mika made Free Throw.
BYU,Pepperdine,8,7,1,54,1,Nolan Taylor made Jumper. Assisted by Jeremy Major.
BYU,Pepperdine,10,7,2,6,1,Nick Emery made Layup.
BYU,Pepperdine,10,7,2,24,0,Lamond Murray Jr. missed Three Point Jumper.
BYU,Pepperdine,10,7,2,24,0,Eric Mika Defensive Rebound.
BYU,Pepperdine,10,7,2,36,0,TJ Haws missed Three Point Jumper.
BYU,Pepperdine,10,7,2,36,0,Chris Reyes Defensive Rebound.
BYU,Pepperdine,10,9,2,44,1,Lamond Murray Jr. made Dunk. Assisted by Jeremy Major.
BYU,Pepperdine,10,9,2,53,0,Foul on Jeremy Major.
BYU,Pepperdine,10,9,2,53,0,TJ Haws missed Free Throw.
BYU,Pepperdine,10,9,2,53,0,BYU Deadball Team Rebound.
BYU,Pepperdine,11,9,2,53,1,TJ Haws made Free Throw.
BYU,Pepperdine,11,9,3,7,0,Foul on Eric Mika.
BYU,Pepperdine,11,10,3,7,1,Lamond Murray Jr. made Free Throw.
BYU,Pepperdine,11,11,3,7,1,Lamond Murray Jr. made Free Throw.
BYU,Pepperdine,11,11,3,17,0,Eric Mika missed Layup.
BYU,Pepperdine,11,11,3,17,0,Chris Reyes Block.
BYU,Pepperdine,11,11,3,18,0,Nolan Taylor Defensive Rebound.
BYU,Pepperdine,11,11,3,26,0,Jeremy Major Turnover.
BYU,Pepperdine,11,11,3,44,0,Elijah Bryant Turnover.
BYU,Pepperdine,11,11,3,46,0,Chris Reyes Steal.
BYU,Pepperdine,11,11,3,53,0,Jeremy Major missed Layup.
BYU,Pepperdine,11,11,3,53,0,Eric Mika Block.
BYU,Pepperdine,11,11,3,54,0,Yoeli Childs Defensive Rebound.
BYU,Pepperdine,11,11,4,4,0,Eric Mika missed Layup.
BYU,Pepperdine,11,11,4,4,0,Chris Reyes Defensive Rebound.
BYU,Pepperdine,11,11,4,7,0,Foul on Yoeli Childs.
BYU,Pepperdine,11,11,4,7,0,Official TV Timeout
BYU,Pepperdine,11,13,4,21,1,Lamond Murray Jr. made Jumper.
BYU,Pepperdine,11,13,4,36,0,Eric Mika Turnover.
BYU,Pepperdine,11,13,4,36,0,Nolan Taylor Steal.
BYU,Pepperdine,11,13,4,44,0,Jeremy Major missed Three Point Jumper.
BYU,Pepperdine,11,13,4,44,0,Davin Guinn Defensive Rebound.
BYU,Pepperdine,11,13,4,54,0,Elijah Bryant missed Three Point Jumper.
BYU,Pepperdine,11,13,4,54,0,Chris Reyes Defensive Rebound.
BYU,Pepperdine,11,15,5,12,1,Nolan Taylor made Layup.
