Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Winthrop,Presbyterian,0,0,0,26,0,JC Younger missed Three Point Jumper.
Winthrop,Presbyterian,0,0,0,26,0,Keon Johnson Defensive Rebound.
Winthrop,Presbyterian,3,0,0,34,1,Roderick Perkins made Three Point Jumper. Assisted by Keon Johnson.
Winthrop,Presbyterian,3,2,0,57,1,Reggie Dillard made Layup.
Winthrop,Presbyterian,3,2,1,19,0,Bjorn Broman missed Three Point Jumper.
Winthrop,Presbyterian,3,2,1,19,0,Duby Okeke Offensive Rebound.
Winthrop,Presbyterian,3,2,1,26,0,Keon Johnson missed Three Point Jumper.
Winthrop,Presbyterian,3,2,1,26,0,Xavier Cooks Offensive Rebound.
Winthrop,Presbyterian,5,2,1,30,1,Xavier Cooks made Layup.
Winthrop,Presbyterian,5,2,2,1,0,Will Adams missed Jumper.
Winthrop,Presbyterian,5,2,2,1,0,Armel TeTe Offensive Rebound.
Winthrop,Presbyterian,5,2,2,4,0,Armel TeTe missed Layup.
Winthrop,Presbyterian,5,2,2,4,0,Bjorn Broman Defensive Rebound.
Winthrop,Presbyterian,7,2,2,21,1,Xavier Cooks made Jumper. Assisted by Roderick Perkins.
Winthrop,Presbyterian,7,4,2,43,1,Ed Drew made Jumper. Assisted by JC Younger.
Winthrop,Presbyterian,10,4,3,1,1,Keon Johnson made Three Point Jumper. Assisted by Xavier Cooks.
Winthrop,Presbyterian,10,6,3,28,1,Reggie Dillard made Layup.
Winthrop,Presbyterian,12,6,3,40,1,Xavier Cooks made Layup.
Winthrop,Presbyterian,12,6,4,1,0,Official TV Timeout
Winthrop,Presbyterian,12,6,4,16,0,Ruben Arroyo missed Three Point Jumper.
Winthrop,Presbyterian,12,6,4,16,0,Tevin Prescott Defensive Rebound.
Winthrop,Presbyterian,12,6,4,29,0,Keon Johnson missed Three Point Jumper.
Winthrop,Presbyterian,12,6,4,29,0,Ruben Arroyo Defensive Rebound.
Winthrop,Presbyterian,12,6,4,38,0,JC Younger missed Three Point Jumper.
Winthrop,Presbyterian,12,6,4,38,0,Winthrop Defensive Rebound.
Winthrop,Presbyterian,12,6,5,3,0,Anders Broman missed Three Point Jumper.
Winthrop,Presbyterian,12,6,5,3,0,Will Adams Defensive Rebound.
Winthrop,Presbyterian,12,6,5,30,0,Reggie Dillard missed Layup.
Winthrop,Presbyterian,12,6,5,30,0,Keon Johnson Defensive Rebound.
Winthrop,Presbyterian,12,6,5,36,0,Keon Johnson missed Layup.
