Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Charleston Southern,Radford,2,0,0,31,1,Armel Potter made Jumper.
Charleston Southern,Radford,2,3,0,59,1,Justin Cousin made Three Point Jumper. Assisted by Christian Bradford.
Charleston Southern,Radford,2,3,1,9,0,Javis Howard Turnover.
Charleston Southern,Radford,2,6,1,22,1,Donald Hicks made Three Point Jumper. Assisted by Ed Polite Jr..
Charleston Southern,Radford,2,6,1,34,0,Christian Keeling Turnover.
Charleston Southern,Radford,2,6,1,35,0,Donald Hicks Steal.
Charleston Southern,Radford,2,6,1,44,0,Foul on Randy Phillips.
Charleston Southern,Radford,2,6,1,44,0,Randy Phillips Turnover.
Charleston Southern,Radford,2,6,1,58,0,Cortez Mitchell Turnover.
Charleston Southern,Radford,2,6,2,22,0,Ed Polite Jr. missed Layup.
Charleston Southern,Radford,2,6,2,22,0,Christian Keeling Defensive Rebound.
Charleston Southern,Radford,2,6,2,32,0,Antwan Maxwell Jr. missed Three Point Jumper.
Charleston Southern,Radford,2,6,2,32,0,Christian Bradford Defensive Rebound.
Charleston Southern,Radford,2,8,2,44,1,Randy Phillips made Layup.
Charleston Southern,Radford,2,8,2,54,0,Christian Keeling missed Three Point Jumper.
Charleston Southern,Radford,2,8,2,54,0,Ed Polite Jr. Defensive Rebound.
Charleston Southern,Radford,2,8,3,5,0,Christian Bradford missed Layup.
Charleston Southern,Radford,2,8,3,5,0,Charleston Southern Defensive Rebound.
Charleston Southern,Radford,2,8,3,15,0,Cortez Mitchell missed Three Point Jumper.
Charleston Southern,Radford,2,8,3,15,0,Donald Hicks Defensive Rebound.
Charleston Southern,Radford,2,8,3,33,0,Christian Bradford missed Three Point Jumper.
Charleston Southern,Radford,2,8,3,33,0,Javis Howard Defensive Rebound.
Charleston Southern,Radford,2,8,3,45,0,Armel Potter missed Jumper.
Charleston Southern,Radford,2,8,3,45,0,Ugo Mmonu Offensive Rebound.
Charleston Southern,Radford,2,8,3,57,0,Raemond Robinson missed Three Point Jumper.
Charleston Southern,Radford,2,8,3,57,0,Donald Hicks Defensive Rebound.
Charleston Southern,Radford,2,8,4,12,0,Donald Hicks missed Three Point Jumper.
Charleston Southern,Radford,2,8,4,12,0,Ugo Mmonu Defensive Rebound.
Charleston Southern,Radford,2,8,4,32,0,Cortez Mitchell missed Jumper.
Charleston Southern,Radford,2,8,4,32,0,Ed Polite Jr. Defensive Rebound.
Charleston Southern,Radford,2,11,4,46,1,Justin Cousin made Three Point Jumper. Assisted by Ed Polite Jr..
