Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
SE Louisiana,North Texas,0,0,0,22,0,Moses Greenwood missed Jumper.
SE Louisiana,North Texas,0,0,0,22,0,Allante Holston Defensive Rebound.
SE Louisiana,North Texas,0,0,0,54,0,J-Mychal Reese missed Jumper.
SE Louisiana,North Texas,0,0,0,54,0,A.J. Lawson Offensive Rebound.
SE Louisiana,North Texas,0,2,0,57,1,A.J. Lawson made Jumper.
SE Louisiana,North Texas,2,2,1,23,1,Davon Hayes made Jumper. Assisted by Chris Mejia.
SE Louisiana,North Texas,2,2,1,43,0,Foul on A.J. Lawson.
SE Louisiana,North Texas,2,2,1,43,0,A.J. Lawson Turnover.
SE Louisiana,North Texas,5,2,2,5,1,Chris Mejia made Three Point Jumper. Assisted by Jabbar Singleton.
SE Louisiana,North Texas,5,2,2,32,0,A.J. Lawson missed Three Point Jumper.
SE Louisiana,North Texas,5,2,2,32,0,Jabbar Singleton Defensive Rebound.
SE Louisiana,North Texas,5,2,2,40,0,James Currington Turnover.
SE Louisiana,North Texas,5,2,2,55,0,Allante Holston Turnover.
SE Louisiana,North Texas,5,2,3,12,0,Moses Greenwood missed Layup.
SE Louisiana,North Texas,5,2,3,12,0,James Currington Offensive Rebound.
SE Louisiana,North Texas,7,2,3,16,1,James Currington made Dunk.
SE Louisiana,North Texas,7,4,3,23,1,Jeremy Combs made Jumper.
SE Louisiana,North Texas,7,4,3,44,0,James Currington Turnover.
SE Louisiana,North Texas,7,6,3,54,1,Jeremy Combs made Layup. Assisted by Derail Green.
SE Louisiana,North Texas,9,6,4,25,1,James Currington made Jumper. Assisted by Jabbar Singleton.
SE Louisiana,North Texas,9,8,4,39,1,A.J. Lawson made Jumper.
SE Louisiana,North Texas,9,8,4,55,0,Jabbar Singleton Turnover.
SE Louisiana,North Texas,9,8,4,55,0,Official TV Timeout
SE Louisiana,North Texas,9,8,5,13,0,A.J. Lawson Turnover.
SE Louisiana,North Texas,11,8,5,25,1,Davon Hayes made Dunk. Assisted by Jabbar Singleton.
SE Louisiana,North Texas,11,8,5,44,0,Jeremy Combs missed Jumper.
SE Louisiana,North Texas,11,8,5,44,0,Jeremy Combs Offensive Rebound.
SE Louisiana,North Texas,11,8,5,48,0,Jeremy Combs missed Jumper.
SE Louisiana,North Texas,11,8,5,48,0,James Currington Defensive Rebound.
SE Louisiana,North Texas,11,8,6,7,0,Moses Greenwood missed Jumper.
SE Louisiana,North Texas,11,8,6,7,0,A.J. Lawson Defensive Rebound.
SE Louisiana,North Texas,11,8,6,17,0,Foul on Davon Hayes.
SE Louisiana,North Texas,11,10,6,21,1,Derail Green made Jumper.
SE Louisiana,North Texas,11,10,6,45,0,Jabbar Singleton missed Three Point Jumper.
SE Louisiana,North Texas,11,10,6,45,0,James Currington Offensive Rebound.
SE Louisiana,North Texas,13,10,6,54,1,Moses Greenwood made Layup. Assisted by James Currington.
SE Louisiana,North Texas,13,10,7,18,0,Jeremy Combs missed Jumper.
SE Louisiana,North Texas,13,10,7,18,0,Davon Hayes Defensive Rebound.
SE Louisiana,North Texas,13,10,7,44,0,Davon Hayes Turnover.
SE Louisiana,North Texas,13,10,7,47,0,Ryan Woolridge Steal.
SE Louisiana,North Texas,13,12,7,49,1,Ryan Woolridge made Layup.
SE Louisiana,North Texas,16,12,8,13,1,Davon Hayes made Three Point Jumper.
SE Louisiana,North Texas,16,15,8,37,1,Derail Green made Three Point Jumper. Assisted by Ja'Michael Brown.
SE Louisiana,North Texas,19,15,8,57,1,Davon Hayes made Three Point Jumper. Assisted by Jabbar Singleton.
SE Louisiana,North Texas,19,15,9,4,0,Ja'Michael Brown missed Jumper.
SE Louisiana,North Texas,19,15,9,4,0,Davon Hayes Defensive Rebound.
SE Louisiana,North Texas,19,15,9,18,0,James Currington missed Jumper.
SE Louisiana,North Texas,19,15,9,18,0,Ja'Michael Brown Defensive Rebound.
SE Louisiana,North Texas,19,18,9,25,1,Keith Frazier made Three Point Jumper. Assisted by Ja'Michael Brown.
SE Louisiana,North Texas,19,18,9,51,0,Foul on Ja'Michael Brown.
SE Louisiana,North Texas,19,18,9,51,0,SE Louisiana  Timeout
SE Louisiana,North Texas,19,18,9,54,0,Eddy Polanco missed Jumper.
SE Louisiana,North Texas,19,18,9,54,0,Ryan Woolridge Defensive Rebound.
SE Louisiana,North Texas,19,18,10,0,0,Ja'Michael Brown missed Layup.
SE Louisiana,North Texas,19,18,10,0,0,Dominic Nelson Block.
SE Louisiana,North Texas,19,18,10,0,0,North Texas Offensive Rebound.
SE Louisiana,North Texas,19,20,10,0,1,Keith Frazier made Jumper. Assisted by Ryan Woolridge.
SE Louisiana,North Texas,19,20,10,22,0,Foul on Ryan Woolridge.
SE Louisiana,North Texas,19,20,10,22,0,Dimi Cook Turnover.
