Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Sacramento State,Montana State,2,0,0,21,1,Eric Stuteville made Jumper. Assisted by Izayah Mauriohoohoo-Le'Afa.
Sacramento State,Montana State,2,0,0,35,0,Foul on Nick Hornsby.
Sacramento State,Montana State,2,2,0,51,1,Sam Neumann made Layup. Assisted by Harald Frey.
Sacramento State,Montana State,4,2,1,3,1,Eric Stuteville made Jumper. Assisted by Izayah Mauriohoohoo-Le'Afa.
Sacramento State,Montana State,4,2,1,18,0,Sam Neumann missed Jumper.
Sacramento State,Montana State,4,2,1,18,0,Justin Strings Block.
Sacramento State,Montana State,4,2,1,20,0,Justin Strings Defensive Rebound.
Sacramento State,Montana State,4,2,1,35,0,Devonte Klines Steal.
Sacramento State,Montana State,4,2,1,37,0,Marcus Graves Turnover.
Sacramento State,Montana State,4,4,1,43,1,Tyler Hall made Jumper.
Sacramento State,Montana State,4,4,2,9,0,Marcus Graves missed Jumper.
Sacramento State,Montana State,4,4,2,9,0,Sam Neumann Defensive Rebound.
Sacramento State,Montana State,4,6,2,29,1,Sam Neumann made Layup. Assisted by Tyler Hall.
Sacramento State,Montana State,4,6,2,48,0,Justin Strings missed Jumper.
Sacramento State,Montana State,4,6,2,48,0,Eric Stuteville Offensive Rebound.
Sacramento State,Montana State,4,6,2,52,0,Eric Stuteville missed Layup.
Sacramento State,Montana State,4,6,2,52,0,Eric Stuteville Offensive Rebound.
Sacramento State,Montana State,4,6,2,55,0,Eric Stuteville missed Layup.
Sacramento State,Montana State,4,6,2,55,0,Tyler Hall Defensive Rebound.
Sacramento State,Montana State,4,6,3,8,0,Zach Green missed Jumper.
Sacramento State,Montana State,4,6,3,8,0,Zach Green Offensive Rebound.
Sacramento State,Montana State,4,6,3,11,0,Zach Green missed Layup.
Sacramento State,Montana State,4,6,3,11,0,Eric Stuteville Block.
Sacramento State,Montana State,4,6,3,13,0,Eric Stuteville Defensive Rebound.
Sacramento State,Montana State,6,6,3,18,1,Nick Hornsby made Jumper.
Sacramento State,Montana State,6,6,3,46,0,Sam Neumann missed Three Point Jumper.
Sacramento State,Montana State,6,6,3,46,0,Montana St Offensive Rebound.
Sacramento State,Montana State,6,6,3,57,0,Tyler Hall Turnover.
Sacramento State,Montana State,6,6,4,9,0,Nick Hornsby missed Three Point Jumper.
Sacramento State,Montana State,6,6,4,9,0,Harald Frey Defensive Rebound.
Sacramento State,Montana State,6,6,4,22,0,Devonte Klines missed Layup.
Sacramento State,Montana State,6,6,4,22,0,Justin Strings Defensive Rebound.
Sacramento State,Montana State,8,6,4,33,1,Eric Stuteville made Jumper.
Sacramento State,Montana State,8,9,4,47,1,Devonte Klines made Three Point Jumper. Assisted by Tyler Hall.
Sacramento State,Montana State,8,9,5,21,0,Izayah Mauriohoohoo-Le'Afa missed Three Point Jumper.
Sacramento State,Montana State,8,9,5,21,0,Montana St Defensive Rebound.
Sacramento State,Montana State,8,9,5,24,0,Official TV Timeout
Sacramento State,Montana State,8,9,5,54,0,Benson Osayande missed Layup.
Sacramento State,Montana State,8,9,5,54,0,Justin Strings Defensive Rebound.
Sacramento State,Montana State,8,9,6,1,0,Justin Strings missed Three Point Jumper.
Sacramento State,Montana State,8,9,6,1,0,Izayah Mauriohoohoo-Le'Afa Offensive Rebound.
Sacramento State,Montana State,10,9,6,6,1,Izayah Mauriohoohoo-Le'Afa made Layup.
Sacramento State,Montana State,10,9,6,25,0,Devonte Klines missed Jumper.
Sacramento State,Montana State,10,9,6,25,0,Eric Stuteville Block.
Sacramento State,Montana State,10,9,6,27,0,Izayah Mauriohoohoo-Le'Afa Defensive Rebound.
Sacramento State,Montana State,12,9,6,51,1,Marcus Graves made Jumper.
Sacramento State,Montana State,12,12,7,3,1,Tyler Hall made Three Point Jumper.
Sacramento State,Montana State,14,12,7,39,1,Chibueze Jacobs made Jumper. Assisted by Marcus Graves.
Sacramento State,Montana State,14,12,7,54,0,Devonte Klines Turnover.
Sacramento State,Montana State,14,12,7,55,0,Marcus Graves Steal.
Sacramento State,Montana State,14,12,7,58,0,Foul on Devonte Klines.
Sacramento State,Montana State,14,12,8,9,0,Justin Strings missed Jumper.
Sacramento State,Montana State,14,12,8,9,0,Joe Mvuezolo Jr. Block.
Sacramento State,Montana State,14,12,8,11,0,Joe Mvuezolo Jr. Defensive Rebound.
Sacramento State,Montana State,14,12,8,13,0,Foul on Chibueze Jacobs.
Sacramento State,Montana State,14,12,8,13,0,Official TV Timeout
Sacramento State,Montana State,14,12,8,26,0,Benson Osayande Turnover.
Sacramento State,Montana State,14,12,8,51,0,Marcus Graves missed Three Point Jumper.
Sacramento State,Montana State,14,12,8,51,0,Chibueze Jacobs Offensive Rebound.
Sacramento State,Montana State,14,12,9,14,0,Foul on Sam Neumann.
Sacramento State,Montana State,14,12,9,30,0,Nick Hornsby missed Jumper.
Sacramento State,Montana State,14,12,9,30,0,Joe Mvuezolo Jr. Defensive Rebound.
Sacramento State,Montana State,14,12,10,1,0,Harald Frey missed Three Point Jumper.
Sacramento State,Montana State,14,12,10,1,0,Tyler Hall Offensive Rebound.
Sacramento State,Montana State,14,15,10,7,1,Tyler Hall made Three Point Jumper.
Sacramento State,Montana State,14,15,10,21,0,Joshua Patton missed Jumper.
