Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Samford,South Alabama,0,0,0,13,0,Foul on Dederick Lee.
Samford,South Alabama,0,0,0,34,0,Demetrius Denzel-Dyson Turnover.
Samford,South Alabama,0,0,0,56,0,Dederick Lee missed Three Point Jumper.
Samford,South Alabama,0,0,0,56,0,Samford Defensive Rebound.
Samford,South Alabama,0,0,1,16,0,Alex Thompson missed Three Point Jumper.
Samford,South Alabama,0,0,1,16,0,Demetrius Denzel-Dyson Offensive Rebound.
Samford,South Alabama,0,0,1,23,0,Demetrius Denzel-Dyson missed Layup.
Samford,South Alabama,0,0,1,23,0,Georgi Boyanov Defensive Rebound.
Samford,South Alabama,0,0,1,41,0,Nick Stover Turnover.
Samford,South Alabama,0,0,1,48,0,Triston Chambers missed Three Point Jumper.
Samford,South Alabama,0,0,1,48,0,Dederick Lee Defensive Rebound.
Samford,South Alabama,0,0,1,56,0,Ken Williams missed Three Point Jumper.
Samford,South Alabama,0,0,1,56,0,Wyatt Walker Defensive Rebound.
Samford,South Alabama,0,0,2,9,0,Triston Chambers missed Three Point Jumper.
Samford,South Alabama,0,0,2,9,0,Wyatt Walker Offensive Rebound.
Samford,South Alabama,2,0,2,16,1,Alex Thompson made Jumper. Assisted by Christen Cunningham.
Samford,South Alabama,2,2,2,45,1,Georgi Boyanov made Layup.
Samford,South Alabama,2,2,2,59,0,Alex Thompson missed Three Point Jumper.
Samford,South Alabama,2,2,2,59,0,Dederick Lee Defensive Rebound.
Samford,South Alabama,2,2,3,8,0,Nick Stover missed Three Point Jumper.
Samford,South Alabama,2,2,3,8,0,Alex Thompson Defensive Rebound.
Samford,South Alabama,2,2,3,12,0,Foul on Georgi Boyanov.
Samford,South Alabama,2,2,3,24,0,Foul on Ken Williams.
Samford,South Alabama,3,2,3,24,1,Josh Sharkey made Free Throw.
Samford,South Alabama,4,2,3,24,1,Josh Sharkey made Free Throw.
Samford,South Alabama,4,2,3,34,0,Georgi Boyanov missed Jumper.
Samford,South Alabama,4,2,3,34,0,Demetrius Denzel-Dyson Defensive Rebound.
Samford,South Alabama,4,2,3,41,0,Demetrius Denzel-Dyson Turnover.
Samford,South Alabama,4,2,3,42,0,Don MuepoKelly Steal.
Samford,South Alabama,4,4,3,44,1,Nick Stover made Dunk. Assisted by Ken Williams.
Samford,South Alabama,4,4,4,5,0,Josh Sharkey missed Three Point Jumper.
Samford,South Alabama,4,4,4,5,0,Wyatt Walker Offensive Rebound.
Samford,South Alabama,4,4,4,9,0,Wyatt Walker missed Layup.
Samford,South Alabama,4,4,4,9,0,Don MuepoKelly Defensive Rebound.
Samford,South Alabama,4,6,4,17,1,Nick Stover made Layup. Assisted by Ken Williams.
Samford,South Alabama,4,6,4,34,0,Josh Sharkey Turnover.
Samford,South Alabama,4,6,4,34,0,Official TV Timeout
Samford,South Alabama,4,6,4,35,0,Foul on Josh Sharkey.
Samford,South Alabama,4,6,4,49,0,Georgi Boyanov missed Layup.
Samford,South Alabama,4,6,4,49,0,Georgi Boyanov Offensive Rebound.
Samford,South Alabama,4,6,5,2,0,Shaq Calhoun missed Three Point Jumper.
Samford,South Alabama,4,6,5,2,0,Christen Cunningham Defensive Rebound.
Samford,South Alabama,4,6,5,13,0,Alex Thompson Turnover.
Samford,South Alabama,4,6,5,14,0,Nick Stover Steal.
