Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Siena,Hofstra,0,0,0,18,0,Rokas Gustys missed Jumper.
Siena,Hofstra,0,0,0,18,0,Javion Ogunyemi Block.
Siena,Hofstra,0,0,0,21,0,Marquis Wright Defensive Rebound.
Siena,Hofstra,2,0,0,43,1,Lavon Long made Jumper. Assisted by Marquis Wright.
Siena,Hofstra,2,0,1,10,0,Deron Powers Turnover.
Siena,Hofstra,2,0,1,12,0,Lavon Long Steal.
Siena,Hofstra,2,0,1,19,0,Ahsante Shivers missed Three Point Jumper.
Siena,Hofstra,2,0,1,19,0,Marquis Wright Offensive Rebound.
Siena,Hofstra,2,0,1,42,0,Javion Ogunyemi missed Layup.
Siena,Hofstra,2,0,1,42,0,Rokas Gustys Defensive Rebound.
Siena,Hofstra,2,0,1,58,0,Foul on Marquis Wright.
Siena,Hofstra,2,2,2,12,1,Rokas Gustys made Layup. Assisted by Ty Greer.
Siena,Hofstra,2,2,2,26,0,Brett Bisping missed Three Point Jumper.
Siena,Hofstra,2,2,2,26,0,Ty Greer Defensive Rebound.
Siena,Hofstra,2,2,2,40,0,Eli Pemberton missed Jumper.
Siena,Hofstra,2,2,2,40,0,Brett Bisping Defensive Rebound.
Siena,Hofstra,2,2,2,46,0,Marquis Wright missed Jumper.
Siena,Hofstra,2,2,2,46,0,Brian Bernardi Defensive Rebound.
Siena,Hofstra,2,2,2,54,0,Eli Pemberton missed Three Point Jumper.
Siena,Hofstra,2,2,2,54,0,Brett Bisping Defensive Rebound.
Siena,Hofstra,2,2,3,10,0,Javion Ogunyemi Turnover.
Siena,Hofstra,2,2,3,11,0,Ty Greer Turnover.
Siena,Hofstra,2,2,3,13,0,Lavon Long Steal.
Siena,Hofstra,4,2,3,16,1,Marquis Wright made Layup.
Siena,Hofstra,4,5,3,35,1,Ty Greer made Three Point Jumper. Assisted by Deron Powers.
Siena,Hofstra,4,5,4,8,0,Lavon Long missed Jumper.
Siena,Hofstra,4,5,4,8,0,Rokas Gustys Defensive Rebound.
Siena,Hofstra,4,8,4,16,1,Brian Bernardi made Three Point Jumper. Assisted by Deron Powers.
Siena,Hofstra,4,8,4,42,0,Javion Ogunyemi missed Jumper.
Siena,Hofstra,4,8,4,42,0,Rokas Gustys Defensive Rebound.
Siena,Hofstra,4,8,4,59,0,Deron Powers missed Three Point Jumper.
Siena,Hofstra,4,8,4,59,0,Marquis Wright Defensive Rebound.
Siena,Hofstra,6,8,5,6,1,Marquis Wright made Jumper.
Siena,Hofstra,6,8,5,21,0,Ty Greer Turnover.
Siena,Hofstra,6,8,5,21,0,Foul on Ty Greer.
Siena,Hofstra,6,8,5,21,0,Official TV Timeout
Siena,Hofstra,6,8,5,41,0,Brett Bisping Turnover.
Siena,Hofstra,6,8,5,44,0,Rokas Gustys Steal.
Siena,Hofstra,6,8,5,55,0,Brian Bernardi missed Three Point Jumper.
Siena,Hofstra,6,8,5,55,0,Siena Defensive Rebound.
Siena,Hofstra,6,8,6,12,0,Marquis Wright missed Jumper.
Siena,Hofstra,6,8,6,12,0,Rokas Gustys Defensive Rebound.
