Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Appalachian State,South Alabama,0,0,0,36,0,Craig Hinton Turnover.
Appalachian State,South Alabama,0,0,0,36,0,Ken Williams Steal.
Appalachian State,South Alabama,0,0,0,36,0,Foul on Craig Hinton.
Appalachian State,South Alabama,0,0,0,59,0,Don MuepoKelly missed Jumper.
Appalachian State,South Alabama,0,0,0,59,0,Griffin Kinney Defensive Rebound.
Appalachian State,South Alabama,0,0,1,8,0,Tyrell Johnson Turnover.
Appalachian State,South Alabama,0,0,1,15,0,Ken Williams missed Three Point Jumper.
Appalachian State,South Alabama,0,0,1,15,0,Emarius Logan Defensive Rebound.
Appalachian State,South Alabama,2,0,1,28,1,Tyrell Johnson made Jumper. Assisted by Ronshad Shabazz.
Appalachian State,South Alabama,2,2,1,52,1,Don MuepoKelly made Jumper.
Appalachian State,South Alabama,2,2,2,14,0,Griffin Kinney Turnover.
Appalachian State,South Alabama,2,5,2,28,1,Josh Ajayi made Three Point Jumper. Assisted by Trhae Mitchell.
Appalachian State,South Alabama,5,5,2,55,1,Craig Hinton made Three Point Jumper. Assisted by Ronshad Shabazz.
Appalachian State,South Alabama,5,5,3,16,0,Ken Williams missed Layup.
Appalachian State,South Alabama,5,5,3,16,0,Tyrell Johnson Block.
Appalachian State,South Alabama,5,5,3,20,0,Ronshad Shabazz Defensive Rebound.
Appalachian State,South Alabama,7,5,3,24,1,Craig Hinton made Jumper.
Appalachian State,South Alabama,7,8,3,42,1,Trhae Mitchell made Three Point Jumper. Assisted by Josh Ajayi.
Appalachian State,South Alabama,9,8,4,4,1,Tyrell Johnson made Jumper.
Appalachian State,South Alabama,9,8,4,30,0,Trhae Mitchell missed Jumper.
Appalachian State,South Alabama,9,8,4,30,0,Tyrell Johnson Defensive Rebound.
Appalachian State,South Alabama,9,8,4,34,0,Foul on Trhae Mitchell.
Appalachian State,South Alabama,9,8,4,34,0,Official TV Timeout
Appalachian State,South Alabama,11,8,4,50,1,Isaac Johnson made Layup.
Appalachian State,South Alabama,11,10,5,9,1,Don MuepoKelly made Jumper.
Appalachian State,South Alabama,14,10,5,18,1,Bennett Holley made Three Point Jumper. Assisted by Emarius Logan.
Appalachian State,South Alabama,14,10,5,29,0,Nick Davis Turnover.
Appalachian State,South Alabama,14,10,5,29,0,Foul on Nick Davis.
Appalachian State,South Alabama,14,10,5,46,0,Ronshad Shabazz missed Three Point Jumper.
Appalachian State,South Alabama,14,10,5,46,0,Nick Davis Defensive Rebound.
Appalachian State,South Alabama,14,10,5,55,0,Nick Davis missed Three Point Jumper.
Appalachian State,South Alabama,14,10,5,55,0,Appalachian State Defensive Rebound.
Appalachian State,South Alabama,14,10,6,18,0,Isaac Johnson missed Jumper.
Appalachian State,South Alabama,14,10,6,18,0,Nick Davis Block.
Appalachian State,South Alabama,14,10,6,20,0,Patrick Good Offensive Rebound.
Appalachian State,South Alabama,14,10,6,23,0,Bennett Holley missed Layup.
Appalachian State,South Alabama,14,10,6,23,0,Nick Davis Block.
Appalachian State,South Alabama,14,10,6,25,0,Ken Williams Defensive Rebound.
Appalachian State,South Alabama,14,10,6,30,0,Foul on Patrick Good.
Appalachian State,South Alabama,14,11,6,30,1,Ken Williams made Free Throw.
Appalachian State,South Alabama,14,12,6,30,1,Ken Williams made Free Throw.
Appalachian State,South Alabama,17,12,6,44,1,Bennett Holley made Three Point Jumper. Assisted by Jake Babic.
Appalachian State,South Alabama,17,12,7,9,0,Nick Davis Turnover.
Appalachian State,South Alabama,19,12,7,25,1,Ronshad Shabazz made Jumper.
Appalachian State,South Alabama,19,12,7,44,0,Nick Stover Turnover.
Appalachian State,South Alabama,19,12,7,57,0,Patrick Good Turnover.
Appalachian State,South Alabama,19,12,7,57,0,Foul on Patrick Good.
Appalachian State,South Alabama,19,12,8,11,0,Ken Williams Turnover.
Appalachian State,South Alabama,19,12,8,26,0,Bennett Holley missed Three Point Jumper.
Appalachian State,South Alabama,19,12,8,26,0,Josh Ajayi Defensive Rebound.
Appalachian State,South Alabama,19,12,8,47,0,Nick Davis Turnover.
Appalachian State,South Alabama,19,12,8,47,0,Official TV Timeout
Appalachian State,South Alabama,19,12,8,57,0,Foul on Don MuepoKelly.
Appalachian State,South Alabama,22,12,9,10,1,Craig Hinton made Three Point Jumper. Assisted by Tyrell Johnson.
Appalachian State,South Alabama,22,12,9,33,0,Foul on Tyrell Johnson.
Appalachian State,South Alabama,22,12,9,45,0,Herb McGee missed Jumper.
Appalachian State,South Alabama,22,12,9,45,0,Craig Hinton Defensive Rebound.
Appalachian State,South Alabama,22,12,9,57,0,Tyrell Johnson Turnover.
Appalachian State,South Alabama,22,12,9,59,0,Herb McGee Steal.
Appalachian State,South Alabama,22,12,10,2,0,Josh Ajayi missed Layup.
Appalachian State,South Alabama,22,12,10,2,0,Griffin Kinney Defensive Rebound.
Appalachian State,South Alabama,22,12,10,17,0,Tyrell Johnson missed Layup.
Appalachian State,South Alabama,22,12,10,17,0,Don MuepoKelly Block.
Appalachian State,South Alabama,22,12,10,18,0,South Alabama Defensive Rebound.
Appalachian State,South Alabama,22,12,10,32,0,Don MuepoKelly missed Jumper.
Appalachian State,South Alabama,22,12,10,32,0,Griffin Kinney Defensive Rebound.
Appalachian State,South Alabama,22,12,10,58,0,Ronshad Shabazz Turnover.
Appalachian State,South Alabama,22,14,11,12,1,Nick Stover made Layup.
Appalachian State,South Alabama,22,14,11,40,0,Griffin Kinney Turnover.
Appalachian State,South Alabama,22,14,11,41,0,Don MuepoKelly Steal.
Appalachian State,South Alabama,22,14,11,44,0,Shaq Calhoun Turnover.
Appalachian State,South Alabama,22,14,11,55,0,Ronshad Shabazz missed Jumper.
Appalachian State,South Alabama,22,14,11,55,0,Shaq Calhoun Block.
Appalachian State,South Alabama,22,14,11,56,0,Shaq Calhoun Defensive Rebound.
Appalachian State,South Alabama,22,14,12,0,0,Don MuepoKelly missed Dunk.
Appalachian State,South Alabama,22,14,12,0,0,Josh Ajayi Offensive Rebound.
Appalachian State,South Alabama,22,14,12,6,0,Dederick Lee missed Three Point Jumper.
Appalachian State,South Alabama,22,14,12,6,0,Jake Babic Defensive Rebound.
Appalachian State,South Alabama,22,14,12,12,0,Foul on Shaq Calhoun.
Appalachian State,South Alabama,22,14,12,12,0,Official TV Timeout
Appalachian State,South Alabama,22,14,12,12,0,Ronshad Shabazz missed Free Throw.
Appalachian State,South Alabama,22,14,12,12,0,Appalachian State Deadball Team Rebound.
Appalachian State,South Alabama,23,14,12,12,1,Ronshad Shabazz made Free Throw.
Appalachian State,South Alabama,23,14,12,32,0,Foul on Emarius Logan.
Appalachian State,South Alabama,23,17,12,38,1,Dederick Lee made Three Point Jumper.
Appalachian State,South Alabama,23,17,12,53,0,Isaac Johnson missed Layup.
Appalachian State,South Alabama,23,17,12,53,0,Isaac Johnson Offensive Rebound.
Appalachian State,South Alabama,25,17,12,57,1,Isaac Johnson made Layup.
Appalachian State,South Alabama,25,17,12,57,0,Foul on Don MuepoKelly.
Appalachian State,South Alabama,25,17,12,57,0,Isaac Johnson missed Free Throw.
Appalachian State,South Alabama,25,17,12,57,0,Georgi Boyanov Defensive Rebound.
Appalachian State,South Alabama,25,17,12,59,0,Georgi Boyanov Turnover.
Appalachian State,South Alabama,25,17,13,2,0,Ronshad Shabazz missed Layup.
Appalachian State,South Alabama,25,17,13,2,0,South Alabama Defensive Rebound.
Appalachian State,South Alabama,25,19,13,21,1,Trhae Mitchell made Layup.
Appalachian State,South Alabama,25,19,13,34,0,Isaac Johnson Turnover.
Appalachian State,South Alabama,25,19,13,34,0,Foul on Isaac Johnson.
Appalachian State,South Alabama,25,21,13,44,1,Kevin Morris made Layup. Assisted by Dederick Lee.
Appalachian State,South Alabama,25,21,13,44,0,Foul on Bennett Holley.
Appalachian State,South Alabama,25,22,13,44,1,Kevin Morris made Free Throw.
Appalachian State,South Alabama,25,22,14,4,0,Emarius Logan Turnover.
Appalachian State,South Alabama,25,22,14,16,0,Foul on Bennett Holley.
Appalachian State,South Alabama,25,22,14,16,0,Ken Williams missed Free Throw.
Appalachian State,South Alabama,25,22,14,16,0,South Alabama Deadball Team Rebound.
Appalachian State,South Alabama,25,22,14,16,0,Ken Williams missed Free Throw.
Appalachian State,South Alabama,25,22,14,16,0,Griffin Kinney Defensive Rebound.
Appalachian State,South Alabama,25,22,14,24,0,Jake Babic missed Layup.
Appalachian State,South Alabama,25,22,14,24,0,Georgi Boyanov Block.
Appalachian State,South Alabama,25,22,14,25,0,Appalachian State Offensive Rebound.
Appalachian State,South Alabama,27,22,14,37,1,Griffin Kinney made Jumper. Assisted by Emarius Logan.
