Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
South Dakota,Oral Roberts,0,3,0,19,1,Emmanuel Nzekwesi made Three Point Jumper. Assisted by Albert Owens.
South Dakota,Oral Roberts,0,3,0,46,0,Carlton Hurst missed Three Point Jumper.
South Dakota,Oral Roberts,0,3,0,46,0,Aaron Anderson Defensive Rebound.
South Dakota,Oral Roberts,0,5,0,55,1,Kris Martin made Jumper.
South Dakota,Oral Roberts,0,5,1,11,0,Trey Dickerson missed Three Point Jumper.
South Dakota,Oral Roberts,0,5,1,11,0,Carlton Hurst Offensive Rebound.
South Dakota,Oral Roberts,0,5,1,14,0,Carlton Hurst missed Layup.
South Dakota,Oral Roberts,0,5,1,14,0,Albert Owens Block.
South Dakota,Oral Roberts,0,5,1,16,0,Emmanuel Nzekwesi Defensive Rebound.
South Dakota,Oral Roberts,0,5,1,31,0,Foul on Austin Sparks.
South Dakota,Oral Roberts,0,5,1,32,0,Kris Martin missed Jumper.
South Dakota,Oral Roberts,0,5,1,32,0,Jalen Bradley Offensive Rebound.
South Dakota,Oral Roberts,0,5,1,35,0,Foul on Trey Dickerson.
South Dakota,Oral Roberts,0,5,1,35,0,Jalen Bradley missed Free Throw.
South Dakota,Oral Roberts,0,5,1,35,0,Oral Roberts Deadball Team Rebound.
South Dakota,Oral Roberts,0,6,1,35,1,Jalen Bradley made Free Throw.
South Dakota,Oral Roberts,0,6,1,53,0,Foul on Aaron Anderson.
South Dakota,Oral Roberts,1,6,1,53,1,Trey Burch-Manning made Free Throw.
South Dakota,Oral Roberts,2,6,1,53,1,Trey Burch-Manning made Free Throw.
South Dakota,Oral Roberts,2,6,2,14,0,Aaron Anderson Turnover.
South Dakota,Oral Roberts,4,6,2,29,1,Trey Burch-Manning made Layup. Assisted by Austin Sparks.
South Dakota,Oral Roberts,4,6,2,38,0,Jalen Bradley missed Three Point Jumper.
South Dakota,Oral Roberts,4,6,2,38,0,Oral Roberts Offensive Rebound.
South Dakota,Oral Roberts,4,9,2,59,1,Kris Martin made Three Point Jumper. Assisted by Jalen Bradley.
South Dakota,Oral Roberts,4,9,3,10,0,Trey Dickerson missed Layup.
South Dakota,Oral Roberts,4,9,3,10,0,Kris Martin Block.
South Dakota,Oral Roberts,4,9,3,12,0,Jalen Bradley Defensive Rebound.
South Dakota,Oral Roberts,4,9,3,15,0,Aaron Anderson missed Layup.
South Dakota,Oral Roberts,4,9,3,15,0,Austin Sparks Defensive Rebound.
South Dakota,Oral Roberts,4,9,3,33,0,Carlton Hurst missed Layup.
South Dakota,Oral Roberts,4,9,3,33,0,Albert Owens Block.
South Dakota,Oral Roberts,4,9,3,33,0,South Dakota Offensive Rebound.
South Dakota,Oral Roberts,4,9,3,44,0,Matt Mooney Turnover.
South Dakota,Oral Roberts,4,9,4,2,0,Foul on Tyler Hagedorn.
South Dakota,Oral Roberts,4,9,4,2,0,Official TV Timeout
South Dakota,Oral Roberts,4,10,4,2,1,Albert Owens made Free Throw.
South Dakota,Oral Roberts,4,11,4,2,1,Albert Owens made Free Throw.
