Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Southern Illinois,Bradley,0,0,0,21,0,Koch Bar Turnover.
Southern Illinois,Bradley,0,0,0,33,0,Thik Bol missed Jumper.
Southern Illinois,Bradley,0,0,0,33,0,Darrell Brown Defensive Rebound.
Southern Illinois,Bradley,0,0,0,42,0,Dwayne Lautier-Ogunleye Turnover.
Southern Illinois,Bradley,0,0,0,49,0,Armon Fletcher missed Three Point Jumper.
Southern Illinois,Bradley,0,0,0,49,0,Dwayne Lautier-Ogunleye Defensive Rebound.
Southern Illinois,Bradley,0,0,1,10,0,Donte Thomas Turnover.
Southern Illinois,Bradley,0,0,1,21,0,Armon Fletcher missed Three Point Jumper.
Southern Illinois,Bradley,0,0,1,21,0,Thik Bol Offensive Rebound.
Southern Illinois,Bradley,0,0,1,29,0,Leo Vincent missed Jumper.
Southern Illinois,Bradley,0,0,1,29,0,Armon Fletcher Offensive Rebound.
Southern Illinois,Bradley,0,0,1,31,0,Armon Fletcher missed Jumper.
Southern Illinois,Bradley,0,0,1,31,0,Leo Vincent Offensive Rebound.
Southern Illinois,Bradley,2,0,1,37,1,Mike Rodriguez made Layup.
Southern Illinois,Bradley,2,0,1,57,0,Donte Thomas Turnover.
Southern Illinois,Bradley,2,0,1,58,0,Sean O'Brien Steal.
Southern Illinois,Bradley,2,0,2,3,0,Foul on Donte Thomas.
Southern Illinois,Bradley,3,0,2,8,1,Thik Bol made Free Throw.
Southern Illinois,Bradley,3,0,2,8,0,Thik Bol missed Free Throw.
Southern Illinois,Bradley,3,0,2,8,0,Koch Bar Defensive Rebound.
Southern Illinois,Bradley,3,0,2,23,0,Koch Bar missed Jumper.
Southern Illinois,Bradley,3,0,2,23,0,Sean O'Brien Defensive Rebound.
Southern Illinois,Bradley,3,0,2,32,0,Armon Fletcher missed Three Point Jumper.
Southern Illinois,Bradley,3,0,2,32,0,Thik Bol Offensive Rebound.
Southern Illinois,Bradley,3,0,2,38,0,Thik Bol missed Jumper.
Southern Illinois,Bradley,3,0,2,38,0,Thik Bol Offensive Rebound.
Southern Illinois,Bradley,3,0,2,41,0,Leo Vincent missed Three Point Jumper.
Southern Illinois,Bradley,3,0,2,41,0,Koch Bar Defensive Rebound.
Southern Illinois,Bradley,3,0,3,2,0,Dwayne Lautier-Ogunleye Turnover.
Southern Illinois,Bradley,3,0,3,5,0,Armon Fletcher Steal.
Southern Illinois,Bradley,3,0,3,27,0,Sean O'Brien Turnover.
Southern Illinois,Bradley,3,0,3,27,0,Antoine Pittman Steal.
Southern Illinois,Bradley,3,0,3,39,0,Foul on Sean O'Brien.
Southern Illinois,Bradley,3,1,3,39,1,Antoine Pittman made Free Throw.
Southern Illinois,Bradley,3,2,3,39,1,Antoine Pittman made Free Throw.
Southern Illinois,Bradley,3,2,4,5,0,Mike Rodriguez missed Three Point Jumper.
Southern Illinois,Bradley,3,2,4,5,0,Sean O'Brien Offensive Rebound.
Southern Illinois,Bradley,5,2,4,11,1,Thik Bol made Jumper. Assisted by Armon Fletcher.
Southern Illinois,Bradley,5,2,4,32,0,Foul on Leo Vincent.
Southern Illinois,Bradley,5,2,4,32,0,Bradley  Timeout
Southern Illinois,Bradley,5,4,4,39,1,Darrell Brown made Jumper.
Southern Illinois,Bradley,5,4,5,12,0,Sean O'Brien Turnover.
Southern Illinois,Bradley,5,4,5,13,0,Koch Bar Steal.
Southern Illinois,Bradley,5,6,5,27,1,JoJo McGlaston made Jumper.
Southern Illinois,Bradley,5,6,5,41,0,Mike Rodriguez Turnover.
Southern Illinois,Bradley,5,6,6,0,0,Foul on Jonathan Wiley.
Southern Illinois,Bradley,5,6,6,11,0,JoJo McGlaston missed Three Point Jumper.
Southern Illinois,Bradley,5,6,6,11,0,Jonathan Wiley Defensive Rebound.
Southern Illinois,Bradley,7,6,6,32,1,Jonathan Wiley made Jumper. Assisted by Sean O'Brien.
Southern Illinois,Bradley,7,6,6,38,0,Antoine Pittman missed Three Point Jumper.
Southern Illinois,Bradley,7,6,6,38,0,Sean O'Brien Defensive Rebound.
Southern Illinois,Bradley,7,6,6,41,0,Foul on Donte Thomas.
Southern Illinois,Bradley,7,6,7,3,0,Aaron Cook missed Three Point Jumper.
Southern Illinois,Bradley,7,6,7,3,0,Luuk van Bree Defensive Rebound.
Southern Illinois,Bradley,7,6,7,18,0,Foul on Aaron Cook.
Southern Illinois,Bradley,7,6,7,18,0,Darrell Brown missed Free Throw.
Southern Illinois,Bradley,7,6,7,18,0,Bradley Deadball Team Rebound.
Southern Illinois,Bradley,7,7,7,18,1,Darrell Brown made Free Throw.
Southern Illinois,Bradley,7,7,7,42,0,Foul on Luuk van Bree.
Southern Illinois,Bradley,8,7,7,42,1,Aaron Cook made Free Throw.
Southern Illinois,Bradley,9,7,7,42,1,Aaron Cook made Free Throw.
Southern Illinois,Bradley,9,7,7,54,0,Antoine Pittman Turnover.
Southern Illinois,Bradley,9,7,7,55,0,Aaron Cook Steal.
Southern Illinois,Bradley,9,7,8,7,0,Armon Fletcher missed Three Point Jumper.
Southern Illinois,Bradley,9,7,8,7,0,Jayden Hodgson Defensive Rebound.
Southern Illinois,Bradley,9,7,8,36,0,Antoine Pittman missed Jumper.
Southern Illinois,Bradley,9,7,8,36,0,Southern Illinois Defensive Rebound.
Southern Illinois,Bradley,9,7,8,37,0,Southern Illinois  Timeout
Southern Illinois,Bradley,9,7,8,56,0,Jonathan Wiley missed Jumper.
Southern Illinois,Bradley,9,7,8,56,0,Thik Bol Offensive Rebound.
Southern Illinois,Bradley,11,7,9,0,1,Thik Bol made Two Point Tip Shot.
Southern Illinois,Bradley,11,7,9,29,0,Jayden Hodgson missed Jumper.
Southern Illinois,Bradley,11,7,9,29,0,Aaron Cook Block.
Southern Illinois,Bradley,11,7,9,30,0,Jayden Hodgson Offensive Rebound.
Southern Illinois,Bradley,11,7,9,31,0,Jayden Hodgson missed Jumper.
Southern Illinois,Bradley,11,7,9,31,0,Thik Bol Defensive Rebound.
Southern Illinois,Bradley,11,7,9,48,0,Aaron Cook missed Jumper.
Southern Illinois,Bradley,11,7,9,48,0,Dwayne Lautier-Ogunleye Defensive Rebound.
Southern Illinois,Bradley,11,7,9,57,0,Foul on Aaron Cook.
Southern Illinois,Bradley,11,7,10,12,0,JoJo McGlaston missed Jumper.
Southern Illinois,Bradley,11,7,10,12,0,JoJo McGlaston Offensive Rebound.
Southern Illinois,Bradley,11,7,10,29,0,Luuk van Bree missed Jumper.
Southern Illinois,Bradley,11,7,10,29,0,Thik Bol Block.
Southern Illinois,Bradley,11,7,10,31,0,Koch Bar Offensive Rebound.
Southern Illinois,Bradley,11,9,10,31,1,Koch Bar made Jumper.
Southern Illinois,Bradley,11,9,10,31,0,Foul on Thik Bol.
Southern Illinois,Bradley,11,10,10,33,1,Koch Bar made Free Throw.
Southern Illinois,Bradley,11,10,11,0,0,Sean Lloyd missed Jumper.
Southern Illinois,Bradley,11,10,11,0,0,Sean Lloyd Offensive Rebound.
Southern Illinois,Bradley,11,10,11,3,0,Thik Bol missed Jumper.
Southern Illinois,Bradley,11,10,11,3,0,Sean O'Brien Offensive Rebound.
Southern Illinois,Bradley,14,10,11,16,1,Leo Vincent made Three Point Jumper.
Southern Illinois,Bradley,14,10,11,39,0,Foul on Mike Rodriguez.
Southern Illinois,Bradley,14,11,11,39,1,Darrell Brown made Free Throw.
Southern Illinois,Bradley,14,12,11,39,1,Darrell Brown made Free Throw.
