Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Crowley's Ridge College,Tennessee Tech,0,0,0,11,0,Kajon Mack missed Three Point Jumper.
Crowley's Ridge College,Tennessee Tech,0,0,0,11,0,Shaquille Culbreath Defensive Rebound.
Crowley's Ridge College,Tennessee Tech,0,0,0,42,0,Cade Niswonger missed Three Point Jumper.
Crowley's Ridge College,Tennessee Tech,0,0,0,42,0,Tennessee Tech Defensive Rebound.
Crowley's Ridge College,Tennessee Tech,0,2,0,54,1,Mason Ramsey made Jumper.
Crowley's Ridge College,Tennessee Tech,0,2,1,15,0,Wyatt Summers Turnover.
Crowley's Ridge College,Tennessee Tech,0,2,1,16,0,Kajon Mack Steal.
Crowley's Ridge College,Tennessee Tech,0,4,1,18,1,Kajon Mack made Dunk.
Crowley's Ridge College,Tennessee Tech,0,4,1,29,0,Shaquille Culbreath Turnover.
Crowley's Ridge College,Tennessee Tech,0,4,1,47,0,Aleksa Jugovic missed Jumper.
Crowley's Ridge College,Tennessee Tech,0,4,1,47,0,Hunter Turner Defensive Rebound.
Crowley's Ridge College,Tennessee Tech,0,4,2,1,0,Shaquille Culbreath missed Layup.
Crowley's Ridge College,Tennessee Tech,0,4,2,1,0,Mason Ramsey Defensive Rebound.
Crowley's Ridge College,Tennessee Tech,0,4,2,13,0,Micaiah Henry Turnover.
Crowley's Ridge College,Tennessee Tech,0,4,2,13,0,James Vance Steal.
Crowley's Ridge College,Tennessee Tech,0,4,2,23,0,James Vance missed Jumper.
Crowley's Ridge College,Tennessee Tech,0,4,2,23,0,Kajon Mack Defensive Rebound.
Crowley's Ridge College,Tennessee Tech,0,4,2,34,0,Savonte Frazier missed Three Point Jumper.
Crowley's Ridge College,Tennessee Tech,0,4,2,34,0,Mason Ramsey Offensive Rebound.
Crowley's Ridge College,Tennessee Tech,0,6,2,36,1,Mason Ramsey made Two Point Tip Shot.
Crowley's Ridge College,Tennessee Tech,0,6,2,49,0,Wyatt Summers missed Three Point Jumper.
Crowley's Ridge College,Tennessee Tech,0,6,2,49,0,Savonte Frazier Defensive Rebound.
Crowley's Ridge College,Tennessee Tech,0,6,3,13,0,Aleksa Jugovic missed Three Point Jumper.
Crowley's Ridge College,Tennessee Tech,0,6,3,13,0,Savonte Frazier Offensive Rebound.
Crowley's Ridge College,Tennessee Tech,0,9,3,17,1,Aleksa Jugovic made Three Point Jumper. Assisted by Savonte Frazier.
Crowley's Ridge College,Tennessee Tech,0,9,3,36,0,Shaquille Culbreath missed Three Point Jumper.
Crowley's Ridge College,Tennessee Tech,0,9,3,36,0,Kajon Mack Defensive Rebound.
Crowley's Ridge College,Tennessee Tech,0,9,3,57,0,Foul on Savonte Frazier.
Crowley's Ridge College,Tennessee Tech,0,9,3,57,0,Savonte Frazier Turnover.
Crowley's Ridge College,Tennessee Tech,0,9,4,9,0,Foul on JaCardo Hawkins.
Crowley's Ridge College,Tennessee Tech,0,9,4,9,0,Official TV Timeout
