Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
UCLA,USC,0,0,0,0,0,Jump Ball won by UCLA
UCLA,USC,0,0,0,12,0,Lonzo Ball Turnover.
UCLA,USC,0,0,0,12,0,Elijah Stewart Steal.
UCLA,USC,0,0,0,23,0,Jordan McLaughlin Turnover.
UCLA,USC,0,0,0,23,0,Thomas Welsh Steal.
UCLA,USC,2,0,0,32,1,Thomas Welsh made Jumper. Assisted by Isaac Hamilton.
UCLA,USC,2,0,0,55,0,De'Anthony Melton missed Three Point Jumper.
UCLA,USC,2,0,0,55,0,Lonzo Ball Defensive Rebound.
UCLA,USC,2,0,1,7,0,TJ Leaf missed Layup.
UCLA,USC,2,0,1,7,0,TJ Leaf Offensive Rebound.
UCLA,USC,2,0,1,9,0,Foul on Chimezie Metu.
UCLA,USC,4,0,1,13,1,Thomas Welsh made Dunk.
UCLA,USC,4,0,1,33,0,Jonah Mathews missed Three Point Jumper.
UCLA,USC,4,0,1,33,0,Lonzo Ball Defensive Rebound.
UCLA,USC,6,0,1,45,1,Thomas Welsh made Jumper.
UCLA,USC,6,0,1,59,0,Chimezie Metu missed Jumper.
UCLA,USC,6,0,1,59,0,Isaac Hamilton Defensive Rebound.
UCLA,USC,6,0,2,9,0,Bryce Alford missed Three Point Jumper.
UCLA,USC,6,0,2,9,0,Chimezie Metu Defensive Rebound.
UCLA,USC,6,0,2,17,0,Foul on Isaac Hamilton.
UCLA,USC,6,0,2,25,0,Chimezie Metu missed Jumper.
UCLA,USC,6,0,2,25,0,Lonzo Ball Defensive Rebound.
UCLA,USC,8,0,2,43,1,TJ Leaf made Layup. Assisted by Isaac Hamilton.
UCLA,USC,8,0,2,45,0,USC  Timeout
UCLA,USC,8,3,2,47,1,Elijah Stewart made Three Point Jumper. Assisted by Jordan McLaughlin.
UCLA,USC,8,3,3,3,0,Isaac Hamilton missed Jumper.
UCLA,USC,8,3,3,3,0,De'Anthony Melton Defensive Rebound.
UCLA,USC,8,6,3,23,1,Jonah Mathews made Three Point Jumper. Assisted by De'Anthony Melton.
UCLA,USC,10,6,3,37,1,Thomas Welsh made Jumper.
UCLA,USC,10,8,4,0,1,De'Anthony Melton made Layup.
UCLA,USC,13,8,4,22,1,Isaac Hamilton made Three Point Jumper. Assisted by Thomas Welsh.
UCLA,USC,13,8,4,35,0,Jump Ball won by USC
UCLA,USC,13,8,4,35,0,Official TV Timeout
UCLA,USC,13,8,4,42,0,Jordan McLaughlin missed Layup.
UCLA,USC,13,8,4,42,0,Nick Rakocevic Offensive Rebound.
UCLA,USC,13,8,4,42,0,Nick Rakocevic missed Two Point Tip Shot.
UCLA,USC,13,8,4,42,0,UCLA Deadball Team Rebound.
UCLA,USC,13,8,4,42,0,Jump Ball won by UCLA
UCLA,USC,13,8,4,51,0,TJ Leaf missed Jumper.
UCLA,USC,13,8,4,51,0,De'Anthony Melton Defensive Rebound.
UCLA,USC,13,10,4,57,1,Nick Rakocevic made Layup. Assisted by De'Anthony Melton.
UCLA,USC,15,10,5,17,1,Thomas Welsh made Jumper.
UCLA,USC,15,10,5,37,0,Foul on Nick Rakocevic.
UCLA,USC,15,10,5,37,0,Nick Rakocevic Turnover.
UCLA,USC,15,10,5,56,0,Isaac Hamilton Turnover.
UCLA,USC,15,10,6,12,0,Elijah Stewart missed Three Point Jumper.
UCLA,USC,15,10,6,12,0,Thomas Welsh Defensive Rebound.
UCLA,USC,18,10,6,22,1,Aaron Holiday made Three Point Jumper. Assisted by Lonzo Ball.
UCLA,USC,18,10,6,31,0,Foul on Aaron Holiday.
UCLA,USC,18,10,6,34,0,Elijah Stewart missed Three Point Jumper.
UCLA,USC,18,10,6,34,0,Thomas Welsh Defensive Rebound.
UCLA,USC,18,10,6,46,0,Aaron Holiday missed Three Point Jumper.
UCLA,USC,18,10,6,46,0,Lonzo Ball Offensive Rebound.
UCLA,USC,20,10,6,51,1,Lonzo Ball made Dunk.
UCLA,USC,20,10,7,5,0,Shaqquan Aaron missed Three Point Jumper.
UCLA,USC,20,10,7,5,0,Thomas Welsh Defensive Rebound.
UCLA,USC,20,10,7,15,0,Lonzo Ball missed Layup.
