Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
UNC Asheville,Winthrop,0,0,0,0,0,Jump Ball won by Winthrop
UNC Asheville,Winthrop,0,0,0,10,0,Xavier Cooks missed Dunk.
UNC Asheville,Winthrop,0,0,0,10,0,David Robertson Defensive Rebound.
UNC Asheville,Winthrop,3,0,0,25,1,Ahmad Thomas made Three Point Jumper. Assisted by Kevin Vannatta.
UNC Asheville,Winthrop,3,3,0,49,1,Roderick Perkins made Three Point Jumper. Assisted by Xavier Cooks.
UNC Asheville,Winthrop,3,3,1,4,0,David Robertson missed Jumper.
UNC Asheville,Winthrop,3,3,1,4,0,Keon Johnson Defensive Rebound.
UNC Asheville,Winthrop,3,3,1,30,0,Foul on Ahmad Thomas.
UNC Asheville,Winthrop,3,4,1,30,1,Xavier Cooks made Free Throw.
UNC Asheville,Winthrop,3,5,1,30,1,Xavier Cooks made Free Throw.
UNC Asheville,Winthrop,6,5,1,51,1,Kevin Vannatta made Three Point Jumper. Assisted by Will Weeks.
UNC Asheville,Winthrop,6,5,2,12,0,Roderick Perkins Turnover.
UNC Asheville,Winthrop,6,5,2,12,0,Kevin Vannatta Steal.
UNC Asheville,Winthrop,8,5,2,17,1,Ahmad Thomas made Layup.
UNC Asheville,Winthrop,8,5,2,27,0,Keon Johnson missed Three Point Jumper.
UNC Asheville,Winthrop,8,5,2,27,0,Duby Okeke Offensive Rebound.
UNC Asheville,Winthrop,8,5,2,34,0,Roderick Perkins missed Three Point Jumper.
UNC Asheville,Winthrop,8,5,2,34,0,David Robertson Defensive Rebound.
UNC Asheville,Winthrop,8,5,2,47,0,Ahmad Thomas missed Jumper.
UNC Asheville,Winthrop,8,5,2,47,0,Duby Okeke Defensive Rebound.
UNC Asheville,Winthrop,8,8,3,8,1,Xavier Cooks made Three Point Jumper.
UNC Asheville,Winthrop,10,8,3,23,1,MaCio Teague made Layup.
UNC Asheville,Winthrop,10,8,3,35,0,Bjorn Broman missed Three Point Jumper.
UNC Asheville,Winthrop,10,8,3,35,0,MaCio Teague Defensive Rebound.
UNC Asheville,Winthrop,10,8,3,44,0,MaCio Teague missed Three Point Jumper.
UNC Asheville,Winthrop,10,8,3,44,0,Duby Okeke Defensive Rebound.
UNC Asheville,Winthrop,10,8,3,52,0,Foul on Duby Okeke.
UNC Asheville,Winthrop,10,8,3,52,0,Duby Okeke Turnover.
UNC Asheville,Winthrop,10,8,4,8,0,Foul on Alec Wnuk.
