Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Western Michigan,Villanova,0,0,0,0,0,Jump Ball won by Western Michigan
Western Michigan,Villanova,0,0,0,22,0,Bryce Moore Turnover.
Western Michigan,Villanova,0,0,0,22,0,Jalen Brunson Steal.
Western Michigan,Villanova,0,0,0,37,0,Phil Booth Turnover.
Western Michigan,Villanova,0,0,0,37,0,Tucker Haymond Steal.
Western Michigan,Villanova,3,0,0,43,1,Thomas Wilder made Three Point Jumper.
Western Michigan,Villanova,3,0,1,4,0,Kris Jenkins Turnover.
Western Michigan,Villanova,3,0,1,23,0,Brandon Johnson Turnover.
Western Michigan,Villanova,3,0,1,23,0,Kris Jenkins Steal.
Western Michigan,Villanova,3,0,1,41,0,Foul on Bryce Moore.
Western Michigan,Villanova,3,0,1,41,0,Darryl Reynolds missed Free Throw.
Western Michigan,Villanova,3,0,1,41,0,Villanova Deadball Team Rebound.
Western Michigan,Villanova,3,1,1,41,1,Darryl Reynolds made Free Throw.
Western Michigan,Villanova,3,1,1,46,0,Bryce Moore missed Three Point Jumper.
Western Michigan,Villanova,3,1,1,46,0,Josh Hart Defensive Rebound.
Western Michigan,Villanova,3,3,2,0,1,Josh Hart made Layup.
Western Michigan,Villanova,3,3,2,28,0,Foul on Thomas Wilder.
Western Michigan,Villanova,3,3,2,28,0,Thomas Wilder Turnover.
Western Michigan,Villanova,3,5,2,45,1,Darryl Reynolds made Jumper. Assisted by Phil Booth.
Western Michigan,Villanova,3,5,2,53,0,Foul on Josh Hart.
Western Michigan,Villanova,3,5,3,2,0,Brandon Johnson missed Jumper.
Western Michigan,Villanova,3,5,3,2,0,Seth Dugan Offensive Rebound.
Western Michigan,Villanova,3,5,3,6,0,Seth Dugan Turnover.
Western Michigan,Villanova,3,5,3,6,0,Josh Hart Steal.
Western Michigan,Villanova,3,7,3,10,1,Jalen Brunson made Layup. Assisted by Josh Hart.
Western Michigan,Villanova,5,7,3,31,1,Brandon Johnson made Layup. Assisted by Bryce Moore.
Western Michigan,Villanova,5,7,3,53,0,Jalen Brunson missed Layup.
Western Michigan,Villanova,5,7,3,53,0,Darryl Reynolds Offensive Rebound.
Western Michigan,Villanova,5,10,3,59,1,Kris Jenkins made Three Point Jumper. Assisted by Josh Hart.
Western Michigan,Villanova,5,10,4,13,0,Tucker Haymond missed Three Point Jumper.
Western Michigan,Villanova,5,10,4,13,0,Jalen Brunson Defensive Rebound.
Western Michigan,Villanova,5,10,4,22,0,Foul on Brandon Johnson.
Western Michigan,Villanova,5,10,4,22,0,Official TV Timeout
Western Michigan,Villanova,5,10,4,23,0,Kris Jenkins missed Three Point Jumper.
Western Michigan,Villanova,5,10,4,23,0,Reggie Jones Defensive Rebound.
Western Michigan,Villanova,5,10,4,39,0,Foul on Kris Jenkins.
Western Michigan,Villanova,5,10,4,51,0,Drake LaMont Turnover.
Western Michigan,Villanova,5,10,4,51,0,Josh Hart Steal.
Western Michigan,Villanova,5,10,5,3,0,Foul on Reggie Jones.
Western Michigan,Villanova,5,12,5,6,1,Mikal Bridges made Dunk.
Western Michigan,Villanova,5,12,5,20,0,Bryce Moore Turnover.
Western Michigan,Villanova,5,14,5,36,1,Donte DiVincenzo made Layup. Assisted by Mikal Bridges.
Western Michigan,Villanova,5,14,5,44,0,Western Michigan  Timeout
Western Michigan,Villanova,8,14,5,57,1,Bryce Moore made Three Point Jumper. Assisted by Tucker Haymond.
Western Michigan,Villanova,8,14,6,21,0,Foul on Reggie Jones.
Western Michigan,Villanova,8,15,6,21,1,Eric Paschall made Free Throw.
Western Michigan,Villanova,8,16,6,21,1,Eric Paschall made Free Throw.
Western Michigan,Villanova,10,16,6,35,1,Drake LaMont made Jumper. Assisted by Tucker Haymond.
Western Michigan,Villanova,10,16,6,53,0,Eric Paschall Turnover.
Western Michigan,Villanova,10,16,6,59,0,Thomas Wilder Turnover.
Western Michigan,Villanova,10,16,6,59,0,Phil Booth Steal.
Western Michigan,Villanova,10,18,7,4,1,Mikal Bridges made Layup.
Western Michigan,Villanova,10,18,7,18,0,Drake LaMont Turnover.
Western Michigan,Villanova,10,18,7,18,0,Kris Jenkins Steal.
Western Michigan,Villanova,10,18,7,29,0,Phil Booth missed Three Point Jumper.
Western Michigan,Villanova,10,18,7,29,0,Drake LaMont Defensive Rebound.
Western Michigan,Villanova,10,18,7,41,0,Bryce Moore missed Three Point Jumper.
Western Michigan,Villanova,10,18,7,41,0,Mikal Bridges Defensive Rebound.
Western Michigan,Villanova,10,18,8,4,0,Foul on Drake LaMont.
Western Michigan,Villanova,10,18,8,4,0,Official TV Timeout
Western Michigan,Villanova,10,19,8,4,1,Eric Paschall made Free Throw.
Western Michigan,Villanova,10,19,8,4,0,Eric Paschall missed Free Throw.
Western Michigan,Villanova,10,19,8,4,0,Seth Dugan Defensive Rebound.
Western Michigan,Villanova,10,19,8,19,0,Foul on Donte DiVincenzo.
Western Michigan,Villanova,10,19,8,19,0,Josh Davis missed Free Throw.
Western Michigan,Villanova,10,19,8,19,0,Western Michigan Deadball Team Rebound.
Western Michigan,Villanova,11,19,8,19,1,Josh Davis made Free Throw.
Western Michigan,Villanova,11,19,8,31,0,Darryl Reynolds Turnover.
Western Michigan,Villanova,11,19,8,44,0,Foul on Kris Jenkins.
Western Michigan,Villanova,13,19,8,49,1,Seth Dugan made Dunk. Assisted by Tucker Haymond.
Western Michigan,Villanova,13,19,9,14,0,Foul on Eric Paschall.
Western Michigan,Villanova,13,19,9,14,0,Eric Paschall Turnover.
Western Michigan,Villanova,13,19,9,20,0,Tucker Haymond Turnover.
Western Michigan,Villanova,13,19,9,23,0,Phil Booth missed Jumper.
Western Michigan,Villanova,13,19,9,23,0,Joeviair Kennedy Defensive Rebound.
Western Michigan,Villanova,13,19,9,29,0,Joeviair Kennedy Turnover.
Western Michigan,Villanova,13,21,9,39,1,Jalen Brunson made Jumper.
Western Michigan,Villanova,13,21,9,57,0,Josh Davis missed Jumper.
Western Michigan,Villanova,13,21,9,57,0,Darryl Reynolds Defensive Rebound.
Western Michigan,Villanova,13,21,10,5,0,Eric Paschall missed Three Point Jumper.
Western Michigan,Villanova,13,21,10,5,0,Josh Hart Offensive Rebound.
Western Michigan,Villanova,13,21,10,10,0,Jalen Brunson missed Three Point Jumper.
Western Michigan,Villanova,13,21,10,10,0,Tucker Haymond Defensive Rebound.
Western Michigan,Villanova,13,21,10,21,0,Tucker Haymond Turnover.
Western Michigan,Villanova,13,21,10,21,0,Jalen Brunson Steal.
Western Michigan,Villanova,13,21,10,26,0,Phil Booth missed Jumper.
Western Michigan,Villanova,13,21,10,26,0,Tucker Haymond Defensive Rebound.
Western Michigan,Villanova,13,21,10,46,0,Seth Dugan missed Jumper.
Western Michigan,Villanova,13,21,10,46,0,Josh Hart Defensive Rebound.
Western Michigan,Villanova,13,23,11,1,1,Jalen Brunson made Jumper.
Western Michigan,Villanova,15,23,11,32,1,Josh Davis made Jumper.
Western Michigan,Villanova,15,26,11,56,1,Phil Booth made Three Point Jumper. Assisted by Jalen Brunson.
Western Michigan,Villanova,17,26,12,8,1,Josh Davis made Jumper. Assisted by Tucker Haymond.
Western Michigan,Villanova,17,26,12,34,0,Phil Booth missed Three Point Jumper.
Western Michigan,Villanova,17,26,12,34,0,Seth Dugan Defensive Rebound.
Western Michigan,Villanova,19,26,12,42,1,Seth Dugan made Layup. Assisted by Tucker Haymond.
Western Michigan,Villanova,19,26,12,45,0,Villanova  Timeout
Western Michigan,Villanova,19,26,12,45,0,Official TV Timeout
Western Michigan,Villanova,19,28,12,59,1,Darryl Reynolds made Dunk. Assisted by Josh Hart.
Western Michigan,Villanova,19,28,13,8,0,Foul on Mikal Bridges.
Western Michigan,Villanova,19,28,13,19,0,Foul on Mikal Bridges.
Western Michigan,Villanova,20,28,13,19,1,Thomas Wilder made Free Throw.
Western Michigan,Villanova,21,28,13,19,1,Thomas Wilder made Free Throw.
Western Michigan,Villanova,21,28,13,36,0,Eric Paschall missed Three Point Jumper.
Western Michigan,Villanova,21,28,13,36,0,Thomas Wilder Defensive Rebound.
Western Michigan,Villanova,23,28,13,44,1,Thomas Wilder made Layup.
Western Michigan,Villanova,23,28,14,2,0,Phil Booth missed Three Point Jumper.
Western Michigan,Villanova,23,28,14,2,0,Western Michigan Defensive Rebound.
Western Michigan,Villanova,25,28,14,35,1,Thomas Wilder made Layup.
Western Michigan,Villanova,25,28,14,57,0,Foul on Josh Davis.
Western Michigan,Villanova,25,29,14,57,1,Josh Hart made Free Throw.
Western Michigan,Villanova,25,30,14,57,1,Josh Hart made Free Throw.
Western Michigan,Villanova,25,30,15,16,0,Drake LaMont missed Jumper.
Western Michigan,Villanova,25,30,15,16,0,Western Michigan Offensive Rebound.
Western Michigan,Villanova,27,30,15,23,1,Thomas Wilder made Jumper.
Western Michigan,Villanova,27,30,15,42,0,Jalen Brunson missed Layup.
Western Michigan,Villanova,27,30,15,42,0,Brandon Johnson Block.
Western Michigan,Villanova,27,30,15,42,0,Drake LaMont Defensive Rebound.
Western Michigan,Villanova,27,30,15,49,0,Tucker Haymond missed Layup.
Western Michigan,Villanova,27,30,15,49,0,Darryl Reynolds Block.
Western Michigan,Villanova,27,30,15,49,0,Drake LaMont Offensive Rebound.
Western Michigan,Villanova,27,30,16,3,0,Brandon Johnson missed Jumper.
Western Michigan,Villanova,27,30,16,3,0,Darryl Reynolds Defensive Rebound.
Western Michigan,Villanova,27,33,16,24,1,Donte DiVincenzo made Three Point Jumper. Assisted by Jalen Brunson.
Western Michigan,Villanova,27,33,17,0,0,Thomas Wilder missed Jumper.
Western Michigan,Villanova,27,33,17,0,0,Thomas Wilder Offensive Rebound.
Western Michigan,Villanova,29,33,17,0,1,Thomas Wilder made Two Point Tip Shot.
Western Michigan,Villanova,29,35,17,32,1,Josh Hart made Layup.
Western Michigan,Villanova,29,35,17,32,0,Foul on Drake LaMont.
Western Michigan,Villanova,29,35,17,32,0,Official TV Timeout
Western Michigan,Villanova,29,36,17,32,1,Josh Hart made Free Throw.
Western Michigan,Villanova,29,36,17,37,0,Foul on Donte DiVincenzo.
Western Michigan,Villanova,30,36,17,37,1,Thomas Wilder made Free Throw.
Western Michigan,Villanova,31,36,17,37,1,Thomas Wilder made Free Throw.
Western Michigan,Villanova,31,36,17,53,0,Donte DiVincenzo missed Jumper.
Western Michigan,Villanova,31,36,17,53,0,Tucker Haymond Defensive Rebound.
Western Michigan,Villanova,31,36,18,9,0,Thomas Wilder Turnover.
Western Michigan,Villanova,31,36,18,15,0,Donte DiVincenzo missed Three Point Jumper.
Western Michigan,Villanova,31,36,18,15,0,Darryl Reynolds Offensive Rebound.
Western Michigan,Villanova,31,36,18,41,0,Foul on Brandon Johnson.
Western Michigan,Villanova,31,37,18,41,1,Josh Hart made Free Throw.
Western Michigan,Villanova,31,38,18,41,1,Josh Hart made Free Throw.
Western Michigan,Villanova,31,38,18,50,0,Foul on Darryl Reynolds.
Western Michigan,Villanova,32,38,18,50,1,Josh Davis made Free Throw.
Western Michigan,Villanova,33,38,18,50,1,Josh Davis made Free Throw.
Western Michigan,Villanova,33,41,19,11,1,Eric Paschall made Three Point Jumper. Assisted by Phil Booth.
Western Michigan,Villanova,33,41,19,24,0,Bryce Moore missed Three Point Jumper.
Western Michigan,Villanova,33,41,19,24,0,Josh Hart Defensive Rebound.
Western Michigan,Villanova,33,44,19,51,1,Eric Paschall made Three Point Jumper. Assisted by Darryl Reynolds.
Western Michigan,Villanova,33,44,20,0,0,End of 1st half
Western Michigan,Villanova,33,44,20,0,0,Jump Ball won by Villanova
Western Michigan,Villanova,33,47,20,22,1,Kris Jenkins made Three Point Jumper.
Western Michigan,Villanova,33,47,20,55,0,Foul on Jalen Brunson.
Western Michigan,Villanova,35,47,21,3,1,Seth Dugan made Layup. Assisted by Brandon Johnson.
Western Michigan,Villanova,35,47,21,24,0,Josh Hart missed Jumper.
Western Michigan,Villanova,35,47,21,24,0,Seth Dugan Defensive Rebound.
Western Michigan,Villanova,37,47,21,38,1,Brandon Johnson made Layup. Assisted by Tucker Haymond.
Western Michigan,Villanova,37,47,21,38,0,Foul on Darryl Reynolds.
Western Michigan,Villanova,38,47,21,38,1,Brandon Johnson made Free Throw.
Western Michigan,Villanova,38,47,21,53,0,Darryl Reynolds Turnover.
Western Michigan,Villanova,38,47,21,53,0,Thomas Wilder Steal.
Western Michigan,Villanova,38,47,22,12,0,Brandon Johnson missed Jumper.
Western Michigan,Villanova,38,47,22,12,0,Seth Dugan Offensive Rebound.
Western Michigan,Villanova,38,47,22,12,0,Seth Dugan missed Two Point Tip Shot.
Western Michigan,Villanova,38,47,22,12,0,Mikal Bridges Block.
Western Michigan,Villanova,38,47,22,12,0,Tucker Haymond Offensive Rebound.
Western Michigan,Villanova,40,47,22,21,1,Tucker Haymond made Jumper.
Western Michigan,Villanova,40,47,22,44,0,Phil Booth Turnover.
Western Michigan,Villanova,40,47,22,44,0,Tucker Haymond Steal.
Western Michigan,Villanova,40,47,22,56,0,Tucker Haymond missed Three Point Jumper.
Western Michigan,Villanova,40,47,22,56,0,Tucker Haymond Offensive Rebound.
Western Michigan,Villanova,40,47,23,4,0,Tucker Haymond missed Jumper.
Western Michigan,Villanova,40,47,23,4,0,Eric Paschall Block.
